repo_name,provider,trace_family,n_runtime_transcripts,n_resource_transcripts,n_execution_transcripts,n_other_runtime_transcripts,n_log_files,runtime_transcript_examples,other_transcript_examples
sounds-like-ai-02cd-codex,codex,runtime_transcript,2,1,1,0,10,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
residual-stream-ai-a924-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
multi-turn-regress-fb0d-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
multi-turn-regress-d8b8-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
multi-turn-regress-aaaa-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
similar-embeddings-nlp-ae9d-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
similar-embeddings-nlp-5ef8-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
similar-embeddings-nlp-f3b7-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
disorder-order-sync-205e-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
layer-wise-probing-llm-dcd0-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
layer-wise-probing-llm-ece7-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
refine-llm-trading-4e75-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
refine-llm-trading-2354-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
chain-of-thought-conv-b564-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
chain-of-thought-conv-1189-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
mechanistic-llm-failures-69ca-claude,codex,runtime_transcript,1,0,1,0,5,logs/execution_claude_transcript.jsonl,
model-implicature-nlp-2b80-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
multi_objective_optimization_o_20260227_215322_c3d0afee,codex,runtime_transcript,1,1,0,0,2,logs/resource_finder_claude_transcript.jsonl,
adv-prompt-propagation-552e-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
basis-vectors-persona-4079-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
basis-vectors-persona-7acf-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
basis-vectors-persona-03ae-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
careful-llm-words-c365-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
careful-llm-words-4e0d-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
careful-llm-words-aaec-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
mechanistic-llm-failures-4f06-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
mechanistic-llm-failures-eb40-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
french-model-counting-ae53-claude,codex,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
non-pokemon-quality-8c18-claude,codex,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
model-count-french-96cb-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
non-pokemon-quality-nlp-ea69-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
steering-vector-decay-4272-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
residual-stream-biject-e825-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
noncomp-phrases-nlp-c335-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
self-critique-drift-6de2-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-fallacy-detection-4626-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
architectural_diversity_in_mul_20260306_214906_8d1e21a6,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
debate-proof-strategies-1084-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
emergent_robustness_to_adversa_20260307_082630_b330f08b,codex,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
mechanistic_interpretability_f_20260307_144014_42ccbc9d,unknown,no_committed_runtime_trace,0,0,0,0,0,,
rainbow-conn-random-1698,codex,runtime_transcript,2,1,1,0,5,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
rainbow-conn-random-f967,codex,runtime_transcript,1,1,0,0,2,logs/resource_finder_claude_transcript.jsonl,
self-critique-drift-4703-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
self-critique-drift-e068-gemini,codex,runtime_transcript,4,2,2,0,8,logs/execution_codex_transcript.jsonl|logs/execution_gemini_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
attention-in-ai-d12f-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
attention-for-ai-bc53-codex,codex,runtime_transcript,4,2,2,0,8,logs/execution_codex_transcript.jsonl|logs/execution_gemini_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
attention-for-ai-f38a-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
french-model-count-debc-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
french-model-counting-9f9d-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
model-count-french-94dd-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
llm-proof-verification-4ab2-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
temporal-credit-assign-42dd-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
self-critique-drift-687e-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
cognitive-semi-groups-b2bf-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
prompt-failure-prediction-0191-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
convergence-coherence-4256-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
adv-meta-llm-interpret-2f36-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
error-propagation-proof-4a91-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
multi-agent-cot-conv-11e2-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
geom-loss-landscapes-cdfb-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
emergent-alignment-llm-b11c-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
phase-transitions-6299-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
lying-style-nlp-0448-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
lying-style-nlp-9950-gemini,codex,runtime_transcript,4,2,2,0,8,logs/execution_codex_transcript.jsonl|logs/execution_gemini_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
lying-style-nlp-92c9-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
live-salmon-ai-test-19cc-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
live-salmon-ai-test-7d56-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
live-salmon-ai-test-4361-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
incontext-if-then-2dae-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
incontext-if-then-31c6-codex,codex,runtime_transcript,2,1,1,0,6,logs/execution_codex_transcript.jsonl|logs/resource_finder_codex_transcript.jsonl,
inctx-if-then-capacity-6ce0-gemini,codex,runtime_transcript,2,1,1,0,6,logs/execution_gemini_transcript.jsonl|logs/resource_finder_gemini_transcript.jsonl,
chat-convergence-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
transformer-int-intervals-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
specialized-copying-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
counter-example-machine-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
partial-isomorphisms-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-zero-shot-entropy-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
finetune-saturation-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
where-is-rhyming-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
many-shot-residual-geom-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
granular-deletes-nlp-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
llm-bullying-analysis-claude,codex,runtime_transcript,2,1,1,0,6,logs/execution_claude_transcript.jsonl|logs/resource_finder_claude_transcript.jsonl,
