repo_name,repo_status,mode,confidence,provider,n_files,has_pipeline_state,has_standard_logs,has_autoresearch,has_hitl,has_hitl_launch,evidence
ai-undetectability-lb-433c-claude,executed,unknown,low,claude,77,False,True,False,False,False,insufficient runtime evidence
llm-linguistic-eval-bb29-claude,executed,unknown,low,claude,75,False,True,False,False,False,insufficient runtime evidence
auto-opt-pde-solver-65e0,executed,unknown,low,claude,99,False,True,False,False,False,insufficient runtime evidence
natural-hallucinations-1245-gemini,executed,unknown,low,codex,284,False,True,False,False,False,insufficient runtime evidence
natural-hallucinations-claude,executed,standard,medium,codex,10705,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-output-length-claude,executed,unknown,low,claude,171,False,True,False,False,False,insufficient runtime evidence
mechanistic-llm-tools-claude,executed,unknown,low,claude,190,False,True,False,False,False,insufficient runtime evidence
natural-hallucinations-codex,executed,unknown,low,codex,210,False,True,False,False,False,insufficient runtime evidence
llm-output-length-codex,executed,unknown,low,codex,190,False,True,False,False,False,insufficient runtime evidence
llm-tool-selection-codex,executed,unknown,low,codex,244,False,True,False,False,False,insufficient runtime evidence
llm-output-length-gemini,executed,unknown,low,codex,198,False,True,False,False,False,insufficient runtime evidence
mechanistic-llm-tools-gemini,executed,unknown,low,codex,167,False,True,False,False,False,insufficient runtime evidence
fix-lazy-llms-claude,executed,unknown,low,codex,220,False,True,False,False,False,insufficient runtime evidence
fix-lazy-llms-codex,executed,unknown,low,codex,227,False,True,False,False,False,insufficient runtime evidence
fix-lazy-llms-gemini,executed,unknown,low,codex,202,False,True,False,False,False,insufficient runtime evidence
news-from-future-ai-claude,executed,unknown,low,codex,242,False,True,False,False,False,insufficient runtime evidence
news-future-ai-codex,executed,unknown,low,codex,262,False,True,False,False,False,insufficient runtime evidence
news-future-ai-gemini,executed,unknown,low,codex,160,False,True,False,False,False,insufficient runtime evidence
isolate-knowledge-updates-claude,executed,standard,medium,codex,300,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
isolate-knowledge-updates-codex,executed,unknown,low,codex,231,False,True,False,False,False,insufficient runtime evidence
isolate-knowledge-updates-gemini,executed,unknown,low,codex,267,False,True,False,False,False,insufficient runtime evidence
carrot-or-stick-nlp-e135-claude,executed,unknown,low,codex,263,False,True,False,False,False,insufficient runtime evidence
carrot-or-stick-nlp-gemini,executed,unknown,low,codex,215,False,True,False,False,False,insufficient runtime evidence
carrot-or-stick-nlp-codex,executed,unknown,low,codex,213,False,True,False,False,False,insufficient runtime evidence
llm-washing-machine-gemini,executed,unknown,low,codex,296,False,True,False,False,False,insufficient runtime evidence
llm-washing-machine-codex,executed,unknown,low,codex,305,False,True,False,False,False,insufficient runtime evidence
llm-washing-machine-claude,executed,standard,medium,codex,541,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
fix-user-intent-nlp-claude,executed,unknown,low,codex,427,False,True,False,False,False,insufficient runtime evidence
fix-user-intent-nlp-codex,executed,unknown,low,codex,202,False,True,False,False,False,insufficient runtime evidence
fixing-user-intent-gemini,executed,unknown,low,codex,226,False,True,False,False,False,insufficient runtime evidence
humor-recognition-llm-ca34-claude,executed,unknown,low,codex,273,False,True,False,False,False,insufficient runtime evidence
cefr-text-difficulty-0907-claude,executed,unknown,low,codex,262,False,True,False,False,False,insufficient runtime evidence
news-from-future-ai-aed4-claude,executed,unknown,low,codex,299,False,True,False,False,False,insufficient runtime evidence
llm-human-vs-llm-fa51-claude,executed,unknown,low,codex,2053,False,True,False,False,False,insufficient runtime evidence
fix-lazy-llms-f21e-claude,executed,unknown,low,codex,288,False,True,False,False,False,insufficient runtime evidence
alignment-watermark-0988-claude,executed,unknown,low,codex,289,False,True,False,False,False,insufficient runtime evidence
isolate-knowledge-updates-f3cd-claude,executed,unknown,low,codex,234,False,True,False,False,False,insufficient runtime evidence
mechanistic-llm-tools-53ce-claude,executed,unknown,low,codex,306,False,True,False,False,False,insufficient runtime evidence
refine-llm-trading-e871-claude,executed,unknown,low,codex,255,False,True,False,False,False,insufficient runtime evidence
carrot-or-stick-nlp-1462-claude,executed,unknown,low,codex,219,False,True,False,False,False,insufficient runtime evidence
llm-linguistic-eval-dad4-claude,executed,unknown,low,codex,266,False,True,False,False,False,insufficient runtime evidence
llm-epistemic-beliefs-79a0-claude,executed,unknown,low,codex,345,False,True,False,False,False,insufficient runtime evidence
uncertainty-llms-75dc-claude,executed,unknown,low,codex,1442,False,True,False,False,False,insufficient runtime evidence
llm-pragmatic-sensitivity-216e-claude,executed,unknown,low,codex,301,False,True,False,False,False,insufficient runtime evidence
collab-rlvr-reasoning-f8bd-claude,executed,unknown,low,codex,323,False,True,False,False,False,insufficient runtime evidence
emergent-misalignment-13b1-claude,executed,unknown,low,codex,449,False,True,False,False,False,insufficient runtime evidence
adversarial-prompts-abe2-claude,executed,unknown,low,codex,269,False,True,False,False,False,insufficient runtime evidence
fairness-llm-calibration-0618-claude,executed,unknown,low,codex,239,False,True,False,False,False,insufficient runtime evidence
sounds-like-ai-61e8-gemini,executed,unknown,low,codex,284,False,True,False,False,False,insufficient runtime evidence
sounds-like-ai-02cd-codex,executed,unknown,low,codex,281,False,True,False,False,False,insufficient runtime evidence
residual-stream-ai-a924-claude,executed,unknown,low,codex,282,False,True,False,False,False,insufficient runtime evidence
multi-turn-regress-fb0d-gemini,executed,unknown,low,codex,177,False,True,False,False,False,insufficient runtime evidence
multi-turn-regress-d8b8-claude,executed,unknown,low,codex,246,False,True,False,False,False,insufficient runtime evidence
multi-turn-regress-aaaa-codex,executed,unknown,low,codex,236,False,True,False,False,False,insufficient runtime evidence
similar-embeddings-nlp-ae9d-gemini,executed,unknown,low,codex,262,False,True,False,False,False,insufficient runtime evidence
similar-embeddings-nlp-5ef8-codex,executed,unknown,low,codex,181,False,True,False,False,False,insufficient runtime evidence
similar-embeddings-nlp-f3b7-claude,executed,unknown,low,codex,240,False,True,False,False,False,insufficient runtime evidence
disorder-order-sync-205e-claude,executed,unknown,low,codex,254,False,True,False,False,False,insufficient runtime evidence
layer-wise-probing-llm-dcd0-claude,executed,unknown,low,codex,1341,False,True,False,False,False,insufficient runtime evidence
layer-wise-probing-llm-ece7-codex,executed,unknown,low,codex,213,False,True,False,False,False,insufficient runtime evidence
refine-llm-trading-4e75-claude,executed,unknown,low,codex,315,False,True,False,False,False,insufficient runtime evidence
refine-llm-trading-2354-codex,executed,unknown,low,codex,204,False,True,False,False,False,insufficient runtime evidence
chain-of-thought-conv-b564-claude,executed,unknown,low,codex,260,False,True,False,False,False,insufficient runtime evidence
chain-of-thought-conv-1189-codex,executed,unknown,low,codex,220,False,True,False,False,False,insufficient runtime evidence
mechanistic-llm-failures-69ca-claude,executed,unknown,low,codex,244,False,True,False,False,False,insufficient runtime evidence
model-implicature-nlp-2b80-claude,executed,unknown,low,codex,1447,False,True,False,False,False,insufficient runtime evidence
multi_objective_optimization_o_20260227_215322_c3d0afee,executed,unknown,low,codex,100,False,True,False,False,False,insufficient runtime evidence
adv-prompt-propagation-552e-claude,executed,unknown,low,codex,253,False,True,False,False,False,insufficient runtime evidence
basis-vectors-persona-4079-gemini,executed,unknown,low,codex,228,False,True,False,False,False,insufficient runtime evidence
basis-vectors-persona-7acf-codex,executed,unknown,low,codex,200,False,True,False,False,False,insufficient runtime evidence
basis-vectors-persona-03ae-claude,executed,unknown,low,codex,281,False,True,False,False,False,insufficient runtime evidence
careful-llm-words-c365-gemini,executed,unknown,low,codex,166,False,True,False,False,False,insufficient runtime evidence
careful-llm-words-4e0d-codex,executed,unknown,low,codex,217,False,True,False,False,False,insufficient runtime evidence
careful-llm-words-aaec-claude,executed,unknown,low,codex,1485,False,True,False,False,False,insufficient runtime evidence
mechanistic-llm-failures-4f06-claude,executed,unknown,low,codex,260,False,True,False,False,False,insufficient runtime evidence
mechanistic-llm-failures-eb40-codex,executed,unknown,low,codex,214,False,True,False,False,False,insufficient runtime evidence
french-model-counting-ae53-claude,executed,unknown,low,codex,227,False,True,False,False,False,insufficient runtime evidence
non-pokemon-quality-8c18-claude,executed,unknown,low,codex,216,False,True,False,False,False,insufficient runtime evidence
steering-vector-decay-b58d-claude,unclassified_content,unknown,low,claude,3,False,False,False,False,False,insufficient runtime evidence
model-count-french-96cb-claude,executed,unknown,low,codex,355,False,True,False,False,False,insufficient runtime evidence
non-pokemon-quality-nlp-ea69-claude,executed,unknown,low,codex,232,False,True,False,False,False,insufficient runtime evidence
steering-vector-decay-4272-claude,executed,unknown,low,codex,295,False,True,False,False,False,insufficient runtime evidence
residual-stream-biject-e825-claude,executed,unknown,low,codex,213,False,True,False,False,False,insufficient runtime evidence
noncomp-phrases-nlp-c335-claude,executed,unknown,low,codex,207,False,True,False,False,False,insufficient runtime evidence
self-critique-drift-6de2-claude,executed,standard,medium,codex,237,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-fallacy-detection-4626-claude,executed,standard,medium,codex,245,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
architectural_diversity_in_mul_20260306_214906_8d1e21a6,executed,standard,medium,codex,195,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,executed,standard,medium,codex,179,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
debate-proof-strategies-1084-claude,executed,standard,medium,codex,218,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
emergent_robustness_to_adversa_20260307_082630_b330f08b,executed,standard,medium,codex,169,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
mechanistic_interpretability_f_20260307_144014_42ccbc9d,executed,unknown,low,unknown,24,True,False,False,False,False,insufficient runtime evidence
rainbow-conn-random-1698,executed,standard,medium,codex,149,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
rainbow-conn-random-f967,executed,standard,medium,codex,142,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
self-critique-drift-4703-claude,executed,standard,medium,codex,276,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
self-critique-drift-e068-gemini,executed,standard,medium,codex,326,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
attention-in-ai-d12f-claude,executed,standard,medium,codex,194,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
attention-for-ai-bc53-codex,executed,standard,medium,codex,303,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
attention-for-ai-f38a-gemini,executed,standard,medium,codex,197,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
french-model-count-debc-claude,executed,standard,medium,codex,252,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
french-model-counting-9f9d-codex,executed,standard,medium,codex,206,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
model-count-french-94dd-gemini,executed,standard,medium,codex,205,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-proof-verification-4ab2-claude,executed,standard,medium,codex,307,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
temporal-credit-assign-42dd-claude,executed,standard,medium,codex,268,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
self-critique-drift-687e-codex,executed,standard,medium,codex,198,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
cognitive-semi-groups-b2bf-claude,executed,standard,medium,codex,243,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
prompt-failure-prediction-0191-claude,executed,standard,medium,codex,283,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
convergence-coherence-4256-claude,executed,standard,medium,codex,220,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
adv-meta-llm-interpret-2f36-claude,executed,standard,medium,codex,294,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
error-propagation-proof-4a91-claude,executed,standard,medium,codex,235,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
multi-agent-cot-conv-11e2-claude,executed,standard,medium,codex,350,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
geom-loss-landscapes-cdfb-claude,executed,standard,medium,codex,256,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
emergent-alignment-llm-b11c-claude,executed,standard,medium,codex,256,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
phase-transitions-6299-claude,executed,standard,medium,codex,238,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
lying-style-nlp-0448-claude,executed,standard,medium,codex,228,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
lying-style-nlp-9950-gemini,executed,standard,medium,codex,348,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
lying-style-nlp-92c9-codex,executed,standard,medium,codex,203,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
live-salmon-ai-test-19cc-claude,executed,standard,medium,codex,325,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
live-salmon-ai-test-7d56-codex,executed,standard,medium,codex,283,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
live-salmon-ai-test-4361-gemini,executed,standard,medium,codex,236,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
incontext-if-then-2dae-claude,executed,standard,medium,codex,251,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
incontext-if-then-31c6-codex,executed,standard,medium,codex,258,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
inctx-if-then-capacity-6ce0-gemini,executed,standard,medium,codex,189,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
chat-convergence-claude,executed,standard,medium,codex,249,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
transformer-int-intervals-claude,executed,standard,medium,codex,237,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
specialized-copying-claude,executed,standard,medium,codex,256,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
counter-example-machine-claude,executed,standard,medium,codex,231,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
partial-isomorphisms-claude,executed,standard,medium,codex,325,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-zero-shot-entropy-claude,executed,standard,medium,codex,208,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
finetune-saturation-claude,executed,standard,medium,codex,251,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
where-is-rhyming-claude,executed,standard,medium,codex,230,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
many-shot-residual-geom-claude,executed,standard,medium,codex,253,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
granular-deletes-nlp-claude,executed,standard,medium,codex,258,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-bullying-analysis-claude,executed,standard,medium,codex,232,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
lying-style-nlp-claude,executed,standard,medium,codex,291,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
person-space-mapping-claude,executed,standard,medium,codex,241,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
proficiency-features-claude,executed,standard,medium,codex,243,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
nat-induction-heads-claude,executed,standard,medium,codex,267,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
predict-slop-ai-claude,executed,standard,medium,codex,241,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
cross-comp-reps-claude,executed,standard,medium,codex,267,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
scaling-laws-finetune-claude,executed,standard,medium,codex,320,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
test-llm-impersonators-claude,executed,standard,medium,codex,284,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
ai-undetectability-lb-claude,executed,standard,medium,codex,572,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
mistake-vs-persona-claude,executed,standard,medium,codex,318,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-keeping-secrets-claude,executed,standard,medium,codex,231,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
higher-level-implicit-claude,executed,standard,medium,codex,199,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
less-ai-sounding-claude,executed,standard,medium,codex,290,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
evolving-forecasters-claude,executed,standard,medium,codex,245,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
abstraction-vs-grounding-claude,executed,standard,medium,codex,238,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
logit-lens-limits-claude,executed,standard,medium,codex,269,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
careful-llm-words-claude,executed,standard,medium,codex,205,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
alignment-watermark-claude,executed,standard,medium,codex,479,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-one-pass-ordering-claude,executed,standard,medium,codex,202,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
invertible-lm-output-claude,executed,standard,medium,codex,307,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
nonlinear-diction-nlp-claude,executed,standard,medium,codex,241,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
sounds-like-ai-claude,executed,standard,medium,codex,235,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-pain-analysis-eb23-claude,executed,standard,medium,codex,273,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-pain-analysis-694e-codex,executed,standard,medium,codex,216,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-pain-analysis-89e0-gemini,executed,standard,medium,codex,195,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
factorio-social-ai-claude,executed,standard,medium,codex,261,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
hidden-state-storage-claude,executed,standard,medium,codex,204,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-priming-sidechan-claude,executed,standard,medium,codex,218,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
multi-turn-regress-claude,executed,standard,medium,codex,264,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
news-future-ai-claude,executed,standard,medium,codex,467,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
finetuning-proof-datasets-claude,executed,standard,medium,codex,245,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
false-memories-llm-claude,executed,standard,medium,codex,939,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
covariance-belief-space-claude,executed,standard,medium,codex,220,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
info-in-out-genai-claude,executed,standard,medium,codex,226,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
steering-expanded-mlp-claude,executed,standard,medium,codex,243,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
residual-stream-biject-claude,executed,standard,medium,codex,209,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
all-words-phrases-nlp-claude,executed,standard,medium,codex,179,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
phrase-arithmetic-nlp-claude,executed,standard,medium,codex,248,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
quantify-llm-factors-claude,executed,standard,medium,codex,359,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
coordination-ai-game-claude,executed,standard,medium,codex,278,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
llm-forget-better-claude,executed,standard,medium,codex,318,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
token-direction-stream-claude,executed,standard,medium,codex,325,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
non-pokemon-quality-nlp-claude,executed,standard,medium,codex,205,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
aligned-models-exasperati-claude,executed,standard,medium,codex,224,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts
