repo_name,sample_reason,stage,transcript_path,n_records,bad_json_lines,record_types,message_roles,top_level_keys,n_with_timestamp,n_with_uuid,n_with_parent_tool_use_id,n_with_tool_use_result,n_with_message
when-should-an-ai-ask-for-clarification-f275-claude,paper_writer,paper_writer,logs/paper_writer_claude_transcript.jsonl,195,0,assistant:81|system:63|user:49|rate_limit_event:1|result:1,assistant:81|user:49,type|uuid|session_id|message|parent_tool_use_id|timestamp|request_id|subtype|estimated_tokens|estimated_tokens_delta|tool_use_result|task_id|tool_use_id|description|task_type|status|output_file|summary|fast_mode_state|fast_mode_disabled_reason|rate_limit_info|cwd|tools|mcp_servers|model|permissionMode|slash_commands|terminal_slash_commands|apiKeySource|claude_code_version|output_style|agents|skills|plugins|capabilities|analytics_disabled|product_feedback_disabled|memory_paths|messaging_socket_path|is_error|duration_api_ms|num_turns|stop_reason|total_cost_usd|usage|modelUsage|permission_denials|terminal_reason|api_error_status|result|ttft_ms|ttft_stream_ms|time_to_request_ms|duration_ms,130,195,0,49,130
when-should-an-ai-ask-for-clarification-f275-claude,paper_writer,resource_finder,logs/resource_finder_claude_transcript.jsonl,348,0,system:124|assistant:121|user:69|tool_progress:32|rate_limit_event:1|result:1,assistant:121|user:69,type|uuid|session_id|parent_tool_use_id|message|timestamp|subtype|request_id|estimated_tokens|estimated_tokens_delta|tool_use_result|tool_use_id|tool_name|elapsed_time_seconds|heartbeat|task_id|description|task_type|status|output_file|summary|fast_mode_state|fast_mode_disabled_reason|isSynthetic|rate_limit_info|cwd|tools|mcp_servers|model|permissionMode|slash_commands|terminal_slash_commands|apiKeySource|claude_code_version|output_style|agents|skills|plugins|capabilities|analytics_disabled|product_feedback_disabled|memory_paths|messaging_socket_path|is_error|duration_api_ms|num_turns|stop_reason|total_cost_usd|usage|modelUsage|permission_denials|terminal_reason|api_error_status|result|ttft_ms|ttft_stream_ms|time_to_request_ms|duration_ms,190,348,32,67,190
ai-human-comm-codex,resource_only,resource_finder,logs/resource_finder_codex_transcript.jsonl,157,1,item.completed:106|item.started:46|item.updated:2|thread.started:1|turn.started:1|turn.completed:1,,type|item|thread_id|usage,0,0,0,0,0
alignment-watermark-0988-claude,execution_only,execution,logs/execution_claude_transcript.jsonl,152,0,assistant:86|user:60|system:5|result:1,assistant:86|user:60,type|session_id|uuid|message|parent_tool_use_id|tool_use_result|subtype|task_id|status|output_file|summary|cwd|tools|mcp_servers|model|permissionMode|slash_commands|apiKeySource|claude_code_version|output_style|agents|skills|plugins|is_error|duration_ms|duration_api_ms|num_turns|result|stop_reason|total_cost_usd|usage|modelUsage|permission_denials,0,152,0,60,146
ai-human-communication-claude,additional_normal,execution,logs/execution_claude_transcript.jsonl,0,34,,,,0,0,0,0,0
ai-human-communication-claude,additional_normal,resource_finder,logs/resource_finder_claude_transcript.jsonl,0,25,,,,0,0,0,0,0
llms-expose-science-codex,additional_normal,execution,logs/execution_codex_transcript.jsonl,278,1,item.completed:198|item.started:73|item.updated:4|thread.started:1|turn.started:1|turn.completed:1,,type|item|thread_id|usage,0,0,0,0,0
llms-expose-science-codex,additional_normal,resource_finder,logs/resource_finder_codex_transcript.jsonl,160,1,item.completed:105|item.started:49|item.updated:3|thread.started:1|turn.started:1|turn.completed:1,,type|item|thread_id|usage,0,0,0,0,0
llms-expose-science-gemini,additional_normal,execution,logs/execution_gemini_transcript.jsonl,163,15,message:69|tool_use:46|tool_result:46|init:1|result:1,,type|timestamp|tool_id|role|content|delta|status|tool_name|parameters|output|session_id|model|error|stats,163,0,0,0,0
llms-expose-science-gemini,additional_normal,resource_finder,logs/resource_finder_gemini_transcript.jsonl,107,14,message:46|tool_use:29|tool_result:29|init:1|error:1|result:1,,type|timestamp|tool_id|role|content|delta|status|tool_name|parameters|output|session_id|model|error|severity|message|stats,107,0,0,0,0
