repo_name,repo_status,provider,run_created_at,repo_created_at,capability_era,temporal_source,has_pipeline_state,has_pipeline_results,has_autoresearch_runtime,has_hitl_runtime,mode,confidence,mode_source,autoresearch_examples,hitl_examples
llm-epistemic-belief-claude,executed,claude,,2026-01-09T21:39:52Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
humor-recognition-llm-gemini,executed,gemini,,2026-01-11T04:28:23Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
multi-scale-nested-gemini,executed,gemini,,2026-01-11T20:41:38Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
recursion-visual-text-gemini,executed,gemini,,2026-01-11T21:51:11Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
humor-recognition-llm-claude,executed,codex,2026-03-21T07:29:07.720057,2026-01-11T22:40:25Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
multi-scale-nested-claude,executed,claude,,2026-01-11T22:40:40Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
recursion-visual-text-claude,executed,claude,,2026-01-12T04:11:52Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
emergent-misalignment-claude,executed,claude,,2026-01-16T16:04:33Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-human-vs-llm-ffea-gemini,executed,claude,,2026-01-17T21:34:30Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-undetectability-lb-dd40-gemini,executed,claude,,2026-01-18T04:04:22Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-human-vs-llm-54c9-claude,executed,claude,,2026-01-18T08:36:37Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-linguistic-eval-62f9-gemini,executed,claude,,2026-01-19T01:19:37Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
ai-undetectability-lb-433c-claude,executed,claude,,2026-01-19T01:37:22Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-linguistic-eval-bb29-claude,executed,claude,,2026-01-19T04:37:49Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
auto-opt-pde-solver-65e0,executed,claude,,2026-01-21T17:05:57Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
natural-hallucinations-1245-gemini,executed,codex,,2026-01-24T20:59:15Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
natural-hallucinations-claude,executed,codex,2026-03-20T15:41:37.583589,2026-01-24T23:26:51Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
llm-output-length-claude,executed,claude,,2026-01-25T01:38:09Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
mechanistic-llm-tools-claude,executed,claude,,2026-01-25T04:13:31Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
natural-hallucinations-codex,executed,codex,,2026-01-26T04:41:33Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-output-length-codex,executed,codex,,2026-01-26T06:04:59Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-tool-selection-codex,executed,codex,,2026-01-26T07:18:59Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-output-length-gemini,executed,codex,,2026-01-26T18:31:35Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
mechanistic-llm-tools-gemini,executed,codex,,2026-01-26T20:06:05Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
fix-lazy-llms-claude,executed,codex,,2026-01-31T22:53:01Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
fix-lazy-llms-codex,executed,codex,,2026-01-31T22:53:07Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
fix-lazy-llms-gemini,executed,codex,,2026-01-31T22:53:13Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
news-from-future-ai-claude,executed,codex,,2026-02-01T02:42:37Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
news-future-ai-codex,executed,codex,,2026-02-01T02:42:44Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
news-future-ai-gemini,executed,codex,,2026-02-01T02:42:50Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
isolate-knowledge-updates-claude,executed,codex,2026-03-22T13:54:52.459997,2026-02-01T20:40:22Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
isolate-knowledge-updates-codex,executed,codex,,2026-02-01T20:40:30Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
isolate-knowledge-updates-gemini,executed,codex,,2026-02-02T00:18:27Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
carrot-or-stick-nlp-e135-claude,executed,codex,,2026-02-06T08:13:24Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
carrot-or-stick-nlp-gemini,executed,codex,,2026-02-07T22:27:13Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
carrot-or-stick-nlp-codex,executed,codex,,2026-02-07T22:27:32Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-washing-machine-gemini,executed,codex,,2026-02-08T00:35:54Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-washing-machine-codex,executed,codex,,2026-02-08T00:36:01Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-washing-machine-claude,executed,codex,2026-03-21T04:57:10.338708,2026-02-08T00:36:59Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
fix-user-intent-nlp-claude,executed,codex,,2026-02-09T05:01:18Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
fix-user-intent-nlp-codex,executed,codex,,2026-02-09T05:01:28Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
fixing-user-intent-gemini,executed,codex,,2026-02-09T05:09:52Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
humor-recognition-llm-ca34-claude,executed,codex,,2026-02-09T22:01:22Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
cefr-text-difficulty-0907-claude,executed,codex,,2026-02-09T23:50:10Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
news-from-future-ai-aed4-claude,executed,codex,,2026-02-10T16:40:06Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-human-vs-llm-fa51-claude,executed,codex,,2026-02-10T18:31:50Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
fix-lazy-llms-f21e-claude,executed,codex,,2026-02-10T20:12:39Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
alignment-watermark-0988-claude,executed,codex,,2026-02-10T23:18:29Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
isolate-knowledge-updates-f3cd-claude,executed,codex,,2026-02-11T03:45:27Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
mechanistic-llm-tools-53ce-claude,executed,codex,,2026-02-11T03:45:47Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
refine-llm-trading-e871-claude,executed,codex,,2026-02-11T05:22:07Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
carrot-or-stick-nlp-1462-claude,executed,codex,,2026-02-11T05:23:01Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-linguistic-eval-dad4-claude,executed,codex,,2026-02-11T16:44:49Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-epistemic-beliefs-79a0-claude,executed,codex,,2026-02-11T16:45:13Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
uncertainty-llms-75dc-claude,executed,codex,,2026-02-11T17:09:42Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
llm-pragmatic-sensitivity-216e-claude,executed,codex,,2026-02-11T18:40:48Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
collab-rlvr-reasoning-f8bd-claude,executed,codex,,2026-02-11T23:17:16Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
emergent-misalignment-13b1-claude,executed,codex,,2026-02-11T23:17:35Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
adversarial-prompts-abe2-claude,executed,codex,,2026-02-11T23:17:56Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
fairness-llm-calibration-0618-claude,executed,codex,,2026-02-12T16:59:09Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
sounds-like-ai-61e8-gemini,executed,codex,,2026-02-14T22:40:50Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
sounds-like-ai-02cd-codex,executed,codex,,2026-02-14T22:40:52Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
residual-stream-ai-a924-claude,executed,codex,,2026-02-14T22:40:55Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
multi-turn-regress-fb0d-gemini,executed,codex,,2026-02-15T02:12:31Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
multi-turn-regress-d8b8-claude,executed,codex,,2026-02-15T22:11:11Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
multi-turn-regress-aaaa-codex,executed,codex,,2026-02-15T22:11:20Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
similar-embeddings-nlp-ae9d-gemini,executed,codex,,2026-02-16T01:28:56Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
similar-embeddings-nlp-5ef8-codex,executed,codex,,2026-02-16T01:29:02Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
similar-embeddings-nlp-f3b7-claude,executed,codex,,2026-02-16T01:29:07Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
disorder-order-sync-205e-claude,executed,codex,,2026-02-19T00:23:34Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
layer-wise-probing-llm-dcd0-claude,executed,codex,,2026-02-22T02:50:11Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
layer-wise-probing-llm-ece7-codex,executed,codex,,2026-02-22T02:50:38Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
refine-llm-trading-4e75-claude,executed,codex,,2026-02-22T07:35:33Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
refine-llm-trading-2354-codex,executed,codex,,2026-02-22T07:35:38Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
chain-of-thought-conv-b564-claude,executed,codex,,2026-02-22T20:37:04Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
chain-of-thought-conv-1189-codex,executed,codex,,2026-02-22T20:37:06Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
mechanistic-llm-failures-69ca-claude,executed,codex,,2026-02-22T20:37:17Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
model-implicature-nlp-2b80-claude,executed,codex,,2026-02-23T23:24:09Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
multi_objective_optimization_o_20260227_215322_c3d0afee,executed,codex,,2026-02-27T21:53:23Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
adv-prompt-propagation-552e-claude,executed,codex,,2026-02-27T23:13:03Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
basis-vectors-persona-4079-gemini,executed,codex,,2026-02-28T22:59:14Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
basis-vectors-persona-7acf-codex,executed,codex,,2026-02-28T23:29:50Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
basis-vectors-persona-03ae-claude,executed,codex,,2026-03-01T00:17:20Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
careful-llm-words-c365-gemini,executed,codex,,2026-03-01T04:33:53Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
careful-llm-words-4e0d-codex,executed,codex,,2026-03-01T04:34:24Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
careful-llm-words-aaec-claude,executed,codex,,2026-03-01T04:34:33Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
mechanistic-llm-failures-4f06-claude,executed,codex,,2026-03-02T00:52:08Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
mechanistic-llm-failures-eb40-codex,executed,codex,,2026-03-02T00:52:24Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
french-model-counting-ae53-claude,executed,codex,,2026-03-02T20:48:49Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
non-pokemon-quality-8c18-claude,executed,codex,,2026-03-02T21:47:12Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
steering-vector-decay-b58d-claude,unclassified_content,claude,,2026-03-02T22:46:25Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
model-count-french-96cb-claude,executed,codex,,2026-03-02T23:00:45Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
non-pokemon-quality-nlp-ea69-claude,executed,codex,,2026-03-03T00:06:37Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
steering-vector-decay-4272-claude,executed,codex,,2026-03-03T01:16:21Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
residual-stream-biject-e825-claude,executed,codex,,2026-03-03T03:00:27Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
noncomp-phrases-nlp-c335-claude,executed,codex,,2026-03-03T03:43:59Z,unknown,none,False,False,False,False,unknown,low,insufficient_runtime_evidence,,
self-critique-drift-6de2-claude,executed,codex,2026-03-05T22:47:58.888484,2026-03-05T22:47:54Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
llm-fallacy-detection-4626-claude,executed,codex,2026-03-06T04:03:33.857040,2026-03-06T04:03:17Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
architectural_diversity_in_mul_20260306_214906_8d1e21a6,executed,codex,2026-03-06T21:49:18.751235,2026-03-06T21:49:08Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,executed,codex,2026-03-06T22:25:50.907740,2026-03-06T22:25:41Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
debate-proof-strategies-1084-claude,executed,codex,2026-03-07T08:25:39.002440,2026-03-07T08:25:07Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
emergent_robustness_to_adversa_20260307_082630_b330f08b,executed,codex,2026-03-07T08:26:39.957406,2026-03-07T08:26:32Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
mechanistic_interpretability_f_20260307_144014_42ccbc9d,executed,unknown,2026-03-07T14:40:16.385994,2026-03-07T15:44:18Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
rainbow-conn-random-1698,executed,codex,2026-03-08T02:41:16.589194,2026-03-08T02:40:41Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
rainbow-conn-random-f967,executed,codex,2026-03-08T04:08:52.514407,2026-03-08T04:08:37Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
self-critique-drift-4703-claude,executed,codex,2026-03-08T06:12:14.004392,2026-03-08T06:12:09Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
self-critique-drift-e068-gemini,executed,codex,2026-03-08T06:12:21.700655,2026-03-08T06:12:18Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
attention-in-ai-d12f-claude,executed,codex,2026-03-08T08:51:39.864283,2026-03-08T08:51:35Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
attention-for-ai-bc53-codex,executed,codex,2026-03-08T08:52:12.763611,2026-03-08T08:52:07Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
attention-for-ai-f38a-gemini,executed,codex,2026-03-08T21:26:13.020189,2026-03-08T21:26:08Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
french-model-count-debc-claude,executed,codex,2026-03-08T21:27:24.046999,2026-03-08T21:27:19Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
french-model-counting-9f9d-codex,executed,codex,2026-03-08T21:27:36.148695,2026-03-08T21:27:31Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
model-count-french-94dd-gemini,executed,codex,2026-03-09T00:21:53.496046,2026-03-09T00:21:48Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
llm-proof-verification-4ab2-claude,executed,codex,2026-03-09T04:29:54.423523,2026-03-09T04:29:23Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
temporal-credit-assign-42dd-claude,executed,codex,2026-03-09T05:12:39.899154,2026-03-09T05:12:10Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
self-critique-drift-687e-codex,executed,codex,2026-03-09T18:39:56.580857,2026-03-09T18:39:52Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
cognitive-semi-groups-b2bf-claude,executed,codex,2026-03-09T22:21:48.179162,2026-03-09T22:21:16Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
prompt-failure-prediction-0191-claude,executed,codex,2026-03-09T22:58:09.725362,2026-03-09T22:57:38Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
convergence-coherence-4256-claude,executed,codex,2026-03-10T05:14:00.607629,2026-03-10T05:13:31Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
adv-meta-llm-interpret-2f36-claude,executed,codex,2026-03-10T07:50:08.417238,2026-03-10T07:49:38Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
error-propagation-proof-4a91-claude,executed,codex,2026-03-10T22:58:57.976595,2026-03-10T22:58:22Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
multi-agent-cot-conv-11e2-claude,executed,codex,2026-03-11T00:04:18.811275,2026-03-11T00:03:48Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
geom-loss-landscapes-cdfb-claude,executed,codex,2026-03-11T05:56:17.199215,2026-03-11T05:55:45Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
emergent-alignment-llm-b11c-claude,executed,codex,2026-03-11T10:00:39.163233,2026-03-11T10:00:07Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
phase-transitions-6299-claude,executed,codex,2026-03-12T02:56:34.052056,2026-03-12T02:55:22Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
lying-style-nlp-0448-claude,executed,codex,2026-03-15T20:46:40.430550,2026-03-15T20:46:35Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
lying-style-nlp-9950-gemini,executed,codex,2026-03-15T20:46:47.493540,2026-03-15T20:46:43Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
lying-style-nlp-92c9-codex,executed,codex,2026-03-15T22:20:02.067541,2026-03-15T22:19:57Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
live-salmon-ai-test-19cc-claude,executed,codex,2026-03-15T22:22:32.279222,2026-03-15T22:22:27Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
live-salmon-ai-test-7d56-codex,executed,codex,2026-03-15T22:56:39.953891,2026-03-15T22:56:35Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
live-salmon-ai-test-4361-gemini,executed,codex,2026-03-16T00:26:45.371369,2026-03-16T00:26:40Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
incontext-if-then-2dae-claude,executed,codex,2026-03-16T02:03:56.620964,2026-03-16T02:03:52Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
incontext-if-then-31c6-codex,executed,codex,2026-03-16T02:03:59.219221,2026-03-16T02:03:54Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
inctx-if-then-capacity-6ce0-gemini,executed,codex,2026-03-16T05:23:37.936100,2026-03-16T05:23:33Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
chat-convergence-claude,executed,codex,2026-03-20T02:03:31.683334,2026-03-20T02:03:27Z,pre_autoresearch,run_created_at,True,True,False,False,standard,high,run_timestamp_pre_autoresearch,,
