repo_name,repo_status,mode,confidence,provider,n_files,has_pipeline_state,has_standard_logs,has_autoresearch,has_hitl,has_hitl_launch,evidence,repo_created_at,repo_pushed_at,capability_era,possible_modes_by_time,final_mode,final_confidence,mode_source
model-character-limit-claude,executed,standard,medium,codex,248,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2025-12-29T00:36:50Z,2026-03-23T00:14:07Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
constrain-llm-behavior-codex,executed,unknown,low,codex,40,False,True,False,False,False,insufficient runtime evidence,2025-12-29T01:10:30Z,2025-12-29T01:38:38Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-behavior-constraints-claude,executed,unknown,low,claude,44,False,True,False,False,False,insufficient runtime evidence,2025-12-29T05:35:14Z,2025-12-29T08:40:58Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
constrain-llm-behavior-gemini,unclassified_content,unknown,low,gemini,38,False,False,False,False,False,insufficient runtime evidence,2025-12-29T05:35:22Z,2025-12-30T17:27:25Z,pre_autoresearch,standard,unknown,low,historical_constraint_only
ai-review-equilibrium-codex,executed,unknown,low,codex,47,False,True,False,False,False,insufficient runtime evidence,2025-12-29T05:35:38Z,2025-12-29T07:13:14Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-review-equilibrium-claude,executed,unknown,low,claude,48,False,True,False,False,False,insufficient runtime evidence,2025-12-29T18:27:46Z,2025-12-29T19:47:51Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-review-equilibrium-gemini,executed,unknown,low,gemini,70,False,True,False,False,False,insufficient runtime evidence,2025-12-30T17:29:37Z,2025-12-30T19:30:22Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
hide-prompts-length-gemini,executed,unknown,low,gemini,46,False,True,False,False,False,insufficient runtime evidence,2026-01-03T20:57:58Z,2026-01-03T23:43:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
adversarial-prompts-docs-codex,executed,unknown,low,codex,41,False,True,False,False,False,insufficient runtime evidence,2026-01-03T20:58:10Z,2026-01-03T21:26:47Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
adversarial-prompts-claude,executed,standard,medium,codex,305,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2026-01-03T20:58:20Z,2026-03-22T05:30:25Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
latent-visual-reasoning-gemini,executed,unknown,low,gemini,73,False,True,False,False,False,insufficient runtime evidence,2026-01-03T23:04:08Z,2026-01-04T22:56:20Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-keeping-secrets-gemini,executed,unknown,low,gemini,50,False,True,False,False,False,insufficient runtime evidence,2026-01-04T22:56:59Z,2026-01-05T00:19:29Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
latent-visual-reasoning-claude,executed,unknown,low,claude,53,False,True,False,False,False,insufficient runtime evidence,2026-01-04T23:06:28Z,2026-01-04T23:35:08Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
latent-visual-reasoning-codex,executed,unknown,low,codex,49,False,True,False,False,False,insufficient runtime evidence,2026-01-04T23:06:34Z,2026-01-04T23:25:53Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llms-keep-secrets-codex,executed,unknown,low,codex,49,False,True,False,False,False,insufficient runtime evidence,2026-01-04T23:37:28Z,2026-01-05T00:07:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llms-keep-secrets-claude,executed,unknown,low,claude,45,False,True,False,False,False,insufficient runtime evidence,2026-01-04T23:37:38Z,2026-01-05T03:47:42Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
auto-opt-pde-solver-claude,executed,unknown,low,claude,49,False,True,False,False,False,insufficient runtime evidence,2026-01-06T16:48:28Z,2026-01-06T17:15:56Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-epistemic-belief-claude,executed,unknown,low,claude,46,False,True,False,False,False,insufficient runtime evidence,2026-01-09T21:39:52Z,2026-01-09T22:09:02Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
humor-recognition-llm-gemini,executed,unknown,low,gemini,52,False,True,False,False,False,insufficient runtime evidence,2026-01-11T04:28:23Z,2026-01-11T22:13:28Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
multi-scale-nested-gemini,executed,unknown,low,gemini,39,False,True,False,False,False,insufficient runtime evidence,2026-01-11T20:41:38Z,2026-01-11T22:47:02Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
recursion-visual-text-gemini,executed,unknown,low,gemini,37,False,True,False,False,False,insufficient runtime evidence,2026-01-11T21:51:11Z,2026-01-12T01:02:48Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
humor-recognition-llm-claude,executed,standard,medium,codex,319,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2026-01-11T22:40:25Z,2026-03-21T09:12:24Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
multi-scale-nested-claude,executed,unknown,low,claude,52,False,True,False,False,False,insufficient runtime evidence,2026-01-11T22:40:40Z,2026-01-12T01:04:29Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
recursion-visual-text-claude,executed,unknown,low,claude,43,False,True,False,False,False,insufficient runtime evidence,2026-01-12T04:11:52Z,2026-01-12T05:03:54Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
emergent-misalignment-claude,executed,unknown,low,claude,64,False,True,False,False,False,insufficient runtime evidence,2026-01-16T16:04:33Z,2026-01-16T20:49:51Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-human-vs-llm-ffea-gemini,executed,unknown,low,claude,43,False,True,False,False,False,insufficient runtime evidence,2026-01-17T21:34:30Z,2026-01-18T04:33:44Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-undetectability-lb-dd40-gemini,executed,unknown,low,claude,66,False,True,False,False,False,insufficient runtime evidence,2026-01-18T04:04:22Z,2026-01-18T05:57:31Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-human-vs-llm-54c9-claude,executed,unknown,low,claude,69,False,True,False,False,False,insufficient runtime evidence,2026-01-18T08:36:37Z,2026-01-18T09:45:09Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-linguistic-eval-62f9-gemini,executed,unknown,low,claude,82,False,True,False,False,False,insufficient runtime evidence,2026-01-19T01:19:37Z,2026-01-19T05:52:58Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
ai-undetectability-lb-433c-claude,executed,unknown,low,claude,77,False,True,False,False,False,insufficient runtime evidence,2026-01-19T01:37:22Z,2026-01-19T03:36:27Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-linguistic-eval-bb29-claude,executed,unknown,low,claude,75,False,True,False,False,False,insufficient runtime evidence,2026-01-19T04:37:49Z,2026-01-19T05:45:12Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
auto-opt-pde-solver-65e0,executed,unknown,low,claude,99,False,True,False,False,False,insufficient runtime evidence,2026-01-21T17:05:57Z,2026-01-21T17:54:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
natural-hallucinations-1245-gemini,executed,unknown,low,codex,284,False,True,False,False,False,insufficient runtime evidence,2026-01-24T20:59:15Z,2026-01-26T08:29:37Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
natural-hallucinations-claude,executed,standard,medium,codex,10705,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2026-01-24T23:26:51Z,2026-03-20T17:16:40Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
llm-output-length-claude,executed,unknown,low,claude,171,False,True,False,False,False,insufficient runtime evidence,2026-01-25T01:38:09Z,2026-01-25T03:37:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
mechanistic-llm-tools-claude,executed,unknown,low,claude,190,False,True,False,False,False,insufficient runtime evidence,2026-01-25T04:13:31Z,2026-01-25T05:06:33Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
natural-hallucinations-codex,executed,unknown,low,codex,210,False,True,False,False,False,insufficient runtime evidence,2026-01-26T04:41:33Z,2026-01-26T05:28:15Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-output-length-codex,executed,unknown,low,codex,190,False,True,False,False,False,insufficient runtime evidence,2026-01-26T06:04:59Z,2026-01-26T07:04:25Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-tool-selection-codex,executed,unknown,low,codex,244,False,True,False,False,False,insufficient runtime evidence,2026-01-26T07:18:59Z,2026-01-26T08:12:05Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-output-length-gemini,executed,unknown,low,codex,198,False,True,False,False,False,insufficient runtime evidence,2026-01-26T18:31:35Z,2026-01-26T19:45:48Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
mechanistic-llm-tools-gemini,executed,unknown,low,codex,167,False,True,False,False,False,insufficient runtime evidence,2026-01-26T20:06:05Z,2026-01-26T20:50:09Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
fix-lazy-llms-claude,executed,unknown,low,codex,220,False,True,False,False,False,insufficient runtime evidence,2026-01-31T22:53:01Z,2026-02-01T01:53:34Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
fix-lazy-llms-codex,executed,unknown,low,codex,227,False,True,False,False,False,insufficient runtime evidence,2026-01-31T22:53:07Z,2026-01-31T23:57:50Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
fix-lazy-llms-gemini,executed,unknown,low,codex,202,False,True,False,False,False,insufficient runtime evidence,2026-01-31T22:53:13Z,2026-01-31T23:56:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
news-from-future-ai-claude,executed,unknown,low,codex,242,False,True,False,False,False,insufficient runtime evidence,2026-02-01T02:42:37Z,2026-02-01T03:25:16Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
news-future-ai-codex,executed,unknown,low,codex,262,False,True,False,False,False,insufficient runtime evidence,2026-02-01T02:42:44Z,2026-02-01T03:18:09Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
news-future-ai-gemini,executed,unknown,low,codex,160,False,True,False,False,False,insufficient runtime evidence,2026-02-01T02:42:50Z,2026-02-01T03:11:41Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
isolate-knowledge-updates-claude,executed,standard,medium,codex,300,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2026-02-01T20:40:22Z,2026-03-22T14:36:15Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
isolate-knowledge-updates-codex,executed,unknown,low,codex,231,False,True,False,False,False,insufficient runtime evidence,2026-02-01T20:40:30Z,2026-02-02T22:10:37Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
isolate-knowledge-updates-gemini,executed,unknown,low,codex,267,False,True,False,False,False,insufficient runtime evidence,2026-02-02T00:18:27Z,2026-02-02T00:53:14Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
carrot-or-stick-nlp-e135-claude,executed,unknown,low,codex,263,False,True,False,False,False,insufficient runtime evidence,2026-02-06T08:13:24Z,2026-02-06T09:15:09Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
carrot-or-stick-nlp-gemini,executed,unknown,low,codex,215,False,True,False,False,False,insufficient runtime evidence,2026-02-07T22:27:13Z,2026-02-07T23:53:01Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
carrot-or-stick-nlp-codex,executed,unknown,low,codex,213,False,True,False,False,False,insufficient runtime evidence,2026-02-07T22:27:32Z,2026-02-07T23:52:16Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-washing-machine-gemini,executed,unknown,low,codex,296,False,True,False,False,False,insufficient runtime evidence,2026-02-08T00:35:54Z,2026-02-08T01:05:15Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-washing-machine-codex,executed,unknown,low,codex,305,False,True,False,False,False,insufficient runtime evidence,2026-02-08T00:36:01Z,2026-02-08T04:07:18Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-washing-machine-claude,executed,standard,medium,codex,541,True,True,False,False,False,ordinary NeuriCo pipeline and execution logs; no AutoResearch/HITL artifacts,2026-02-08T00:36:59Z,2026-03-21T06:16:35Z,pre_autoresearch,standard,standard,medium,runtime_standard_structure
fix-user-intent-nlp-claude,executed,unknown,low,codex,427,False,True,False,False,False,insufficient runtime evidence,2026-02-09T05:01:18Z,2026-02-09T06:42:02Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
fix-user-intent-nlp-codex,executed,unknown,low,codex,202,False,True,False,False,False,insufficient runtime evidence,2026-02-09T05:01:28Z,2026-02-09T05:45:31Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
fixing-user-intent-gemini,executed,unknown,low,codex,226,False,True,False,False,False,insufficient runtime evidence,2026-02-09T05:09:52Z,2026-02-11T18:30:06Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
humor-recognition-llm-ca34-claude,executed,unknown,low,codex,273,False,True,False,False,False,insufficient runtime evidence,2026-02-09T22:01:22Z,2026-02-09T23:26:33Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
cefr-text-difficulty-0907-claude,executed,unknown,low,codex,262,False,True,False,False,False,insufficient runtime evidence,2026-02-09T23:50:10Z,2026-02-10T01:45:30Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
news-from-future-ai-aed4-claude,executed,unknown,low,codex,299,False,True,False,False,False,insufficient runtime evidence,2026-02-10T16:40:06Z,2026-02-10T18:04:20Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-human-vs-llm-fa51-claude,executed,unknown,low,codex,2053,False,True,False,False,False,insufficient runtime evidence,2026-02-10T18:31:50Z,2026-02-10T20:51:10Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
fix-lazy-llms-f21e-claude,executed,unknown,low,codex,288,False,True,False,False,False,insufficient runtime evidence,2026-02-10T20:12:39Z,2026-02-11T03:39:35Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
alignment-watermark-0988-claude,executed,unknown,low,codex,289,False,True,False,False,False,insufficient runtime evidence,2026-02-10T23:18:29Z,2026-02-11T03:44:17Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
isolate-knowledge-updates-f3cd-claude,executed,unknown,low,codex,234,False,True,False,False,False,insufficient runtime evidence,2026-02-11T03:45:27Z,2026-02-11T04:54:49Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
mechanistic-llm-tools-53ce-claude,executed,unknown,low,codex,306,False,True,False,False,False,insufficient runtime evidence,2026-02-11T03:45:47Z,2026-02-11T05:20:37Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
refine-llm-trading-e871-claude,executed,unknown,low,codex,255,False,True,False,False,False,insufficient runtime evidence,2026-02-11T05:22:07Z,2026-02-11T06:43:11Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
carrot-or-stick-nlp-1462-claude,executed,unknown,low,codex,219,False,True,False,False,False,insufficient runtime evidence,2026-02-11T05:23:01Z,2026-02-11T06:41:01Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-linguistic-eval-dad4-claude,executed,unknown,low,codex,266,False,True,False,False,False,insufficient runtime evidence,2026-02-11T16:44:49Z,2026-02-11T21:51:51Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-epistemic-beliefs-79a0-claude,executed,unknown,low,codex,345,False,True,False,False,False,insufficient runtime evidence,2026-02-11T16:45:13Z,2026-02-11T18:15:54Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
uncertainty-llms-75dc-claude,executed,unknown,low,codex,1442,False,True,False,False,False,insufficient runtime evidence,2026-02-11T17:09:42Z,2026-02-11T21:39:39Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
llm-pragmatic-sensitivity-216e-claude,executed,unknown,low,codex,301,False,True,False,False,False,insufficient runtime evidence,2026-02-11T18:40:48Z,2026-02-11T20:30:43Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
collab-rlvr-reasoning-f8bd-claude,executed,unknown,low,codex,323,False,True,False,False,False,insufficient runtime evidence,2026-02-11T23:17:16Z,2026-02-12T02:56:22Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
emergent-misalignment-13b1-claude,executed,unknown,low,codex,449,False,True,False,False,False,insufficient runtime evidence,2026-02-11T23:17:35Z,2026-02-12T06:18:48Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
adversarial-prompts-abe2-claude,executed,unknown,low,codex,269,False,True,False,False,False,insufficient runtime evidence,2026-02-11T23:17:56Z,2026-02-12T01:00:10Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
fairness-llm-calibration-0618-claude,executed,unknown,low,codex,239,False,True,False,False,False,insufficient runtime evidence,2026-02-12T16:59:09Z,2026-02-12T18:06:14Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
sounds-like-ai-61e8-gemini,executed,unknown,low,codex,284,False,True,False,False,False,insufficient runtime evidence,2026-02-14T22:40:50Z,2026-02-14T23:17:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
sounds-like-ai-02cd-codex,executed,unknown,low,codex,281,False,True,False,False,False,insufficient runtime evidence,2026-02-14T22:40:52Z,2026-02-14T23:16:05Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
residual-stream-ai-a924-claude,executed,unknown,low,codex,282,False,True,False,False,False,insufficient runtime evidence,2026-02-14T22:40:55Z,2026-02-15T02:11:19Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
multi-turn-regress-fb0d-gemini,executed,unknown,low,codex,177,False,True,False,False,False,insufficient runtime evidence,2026-02-15T02:12:31Z,2026-02-15T02:48:30Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
multi-turn-regress-d8b8-claude,executed,unknown,low,codex,246,False,True,False,False,False,insufficient runtime evidence,2026-02-15T22:11:11Z,2026-02-16T00:23:33Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
multi-turn-regress-aaaa-codex,executed,unknown,low,codex,236,False,True,False,False,False,insufficient runtime evidence,2026-02-15T22:11:20Z,2026-02-15T22:48:42Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
similar-embeddings-nlp-ae9d-gemini,executed,unknown,low,codex,262,False,True,False,False,False,insufficient runtime evidence,2026-02-16T01:28:56Z,2026-02-16T02:07:47Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
similar-embeddings-nlp-5ef8-codex,executed,unknown,low,codex,181,False,True,False,False,False,insufficient runtime evidence,2026-02-16T01:29:02Z,2026-02-16T01:53:35Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
similar-embeddings-nlp-f3b7-claude,executed,unknown,low,codex,240,False,True,False,False,False,insufficient runtime evidence,2026-02-16T01:29:07Z,2026-02-16T02:13:05Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
disorder-order-sync-205e-claude,executed,unknown,low,codex,254,False,True,False,False,False,insufficient runtime evidence,2026-02-19T00:23:34Z,2026-02-19T04:22:00Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
layer-wise-probing-llm-dcd0-claude,executed,unknown,low,codex,1341,False,True,False,False,False,insufficient runtime evidence,2026-02-22T02:50:11Z,2026-02-22T05:26:07Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
layer-wise-probing-llm-ece7-codex,executed,unknown,low,codex,213,False,True,False,False,False,insufficient runtime evidence,2026-02-22T02:50:38Z,2026-02-22T03:55:03Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
refine-llm-trading-4e75-claude,executed,unknown,low,codex,315,False,True,False,False,False,insufficient runtime evidence,2026-02-22T07:35:33Z,2026-02-22T08:53:18Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
refine-llm-trading-2354-codex,executed,unknown,low,codex,204,False,True,False,False,False,insufficient runtime evidence,2026-02-22T07:35:38Z,2026-02-22T08:01:03Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
chain-of-thought-conv-b564-claude,executed,unknown,low,codex,260,False,True,False,False,False,insufficient runtime evidence,2026-02-22T20:37:04Z,2026-02-22T21:51:31Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
chain-of-thought-conv-1189-codex,executed,unknown,low,codex,220,False,True,False,False,False,insufficient runtime evidence,2026-02-22T20:37:06Z,2026-02-22T21:22:58Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
mechanistic-llm-failures-69ca-claude,executed,unknown,low,codex,244,False,True,False,False,False,insufficient runtime evidence,2026-02-22T20:37:17Z,2026-02-22T21:42:09Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
model-implicature-nlp-2b80-claude,executed,unknown,low,codex,1447,False,True,False,False,False,insufficient runtime evidence,2026-02-23T23:24:09Z,2026-02-24T00:58:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
multi_objective_optimization_o_20260227_215322_c3d0afee,executed,unknown,low,codex,100,False,True,False,False,False,insufficient runtime evidence,2026-02-27T21:53:23Z,2026-02-27T21:53:34Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
adv-prompt-propagation-552e-claude,executed,unknown,low,codex,253,False,True,False,False,False,insufficient runtime evidence,2026-02-27T23:13:03Z,2026-02-28T01:01:04Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
basis-vectors-persona-4079-gemini,executed,unknown,low,codex,228,False,True,False,False,False,insufficient runtime evidence,2026-02-28T22:59:14Z,2026-02-28T23:28:13Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
basis-vectors-persona-7acf-codex,executed,unknown,low,codex,200,False,True,False,False,False,insufficient runtime evidence,2026-02-28T23:29:50Z,2026-02-28T23:59:55Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
basis-vectors-persona-03ae-claude,executed,unknown,low,codex,281,False,True,False,False,False,insufficient runtime evidence,2026-03-01T00:17:20Z,2026-03-01T01:18:07Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
careful-llm-words-c365-gemini,executed,unknown,low,codex,166,False,True,False,False,False,insufficient runtime evidence,2026-03-01T04:33:53Z,2026-03-01T04:57:34Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
careful-llm-words-4e0d-codex,executed,unknown,low,codex,217,False,True,False,False,False,insufficient runtime evidence,2026-03-01T04:34:24Z,2026-03-01T05:05:06Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
careful-llm-words-aaec-claude,executed,unknown,low,codex,1485,False,True,False,False,False,insufficient runtime evidence,2026-03-01T04:34:33Z,2026-03-01T05:58:51Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
mechanistic-llm-failures-4f06-claude,executed,unknown,low,codex,260,False,True,False,False,False,insufficient runtime evidence,2026-03-02T00:52:08Z,2026-03-02T01:58:39Z,pre_autoresearch,standard,standard,high,historical_pre_autoresearch
