repo_name,head_commit_time,head_era,has_resource_prompt,has_research_prompt,has_transcript,has_report,has_state_md,has_autoresearch_runtime,has_hitl_runtime,proposed_mode,confidence,source
llm-washing-machine-gemini,2026-02-07T19:05:12-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-washing-machine-codex,2026-02-07T22:07:17-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fix-user-intent-nlp-claude,2026-02-09T00:41:53-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fix-user-intent-nlp-codex,2026-02-08T23:45:29-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fixing-user-intent-gemini,2026-02-11T12:29:53-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
humor-recognition-llm-ca34-claude,2026-02-09T23:26:19+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
cefr-text-difficulty-0907-claude,2026-02-10T01:45:25+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
news-from-future-ai-aed4-claude,2026-02-10T18:04:11+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-human-vs-llm-fa51-claude,2026-02-10T20:51:05+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fix-lazy-llms-f21e-claude,2026-02-10T21:39:24-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
alignment-watermark-0988-claude,2026-02-10T21:44:03-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
isolate-knowledge-updates-f3cd-claude,2026-02-11T04:54:38+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
mechanistic-llm-tools-53ce-claude,2026-02-10T23:20:24-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
refine-llm-trading-e871-claude,2026-02-11T06:42:59+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
carrot-or-stick-nlp-1462-claude,2026-02-11T06:40:57+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-linguistic-eval-dad4-claude,2026-02-11T21:51:41+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-epistemic-beliefs-79a0-claude,2026-02-11T18:15:39+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
uncertainty-llms-75dc-claude,2026-02-11T15:39:24-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
llm-pragmatic-sensitivity-216e-claude,2026-02-11T20:30:37+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
collab-rlvr-reasoning-f8bd-claude,2026-02-12T02:56:04+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
emergent-misalignment-13b1-claude,2026-02-12T00:18:41-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
adversarial-prompts-abe2-claude,2026-02-12T01:00:01+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
fairness-llm-calibration-0618-claude,2026-02-12T18:06:07+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
sounds-like-ai-61e8-gemini,2026-02-14T17:17:08-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
sounds-like-ai-02cd-codex,2026-02-14T17:16:00-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
residual-stream-ai-a924-claude,2026-02-14T20:11:05-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
multi-turn-regress-fb0d-gemini,2026-02-14T20:48:26-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
multi-turn-regress-d8b8-claude,2026-02-15T18:23:26-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
multi-turn-regress-aaaa-codex,2026-02-15T16:48:36-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
similar-embeddings-nlp-ae9d-gemini,2026-02-15T20:07:39-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
similar-embeddings-nlp-5ef8-codex,2026-02-15T19:53:33-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
similar-embeddings-nlp-f3b7-claude,2026-02-15T20:13:02-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
disorder-order-sync-205e-claude,2026-02-19T04:21:50+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
layer-wise-probing-llm-dcd0-claude,2026-02-21T23:21:05-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
layer-wise-probing-llm-ece7-codex,2026-02-21T21:54:54-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
refine-llm-trading-4e75-claude,2026-02-22T02:53:07-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
refine-llm-trading-2354-codex,2026-02-22T02:00:58-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
chain-of-thought-conv-b564-claude,2026-02-22T15:51:24-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
chain-of-thought-conv-1189-codex,2026-02-22T15:22:53-06:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
mechanistic-llm-failures-69ca-claude,2026-02-22T21:41:57+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
model-implicature-nlp-2b80-claude,2026-02-24T00:57:56+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
multi_objective_optimization_o_20260227_215322_c3d0afee,2026-02-27T21:53:33+00:00,pre_autoresearch,True,False,True,False,False,False,False,standard,high,head_commit_pre_autoresearch
adv-prompt-propagation-552e-claude,2026-02-28T01:00:48+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
basis-vectors-persona-4079-gemini,2026-02-28T23:28:08+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
basis-vectors-persona-7acf-codex,2026-02-28T23:59:50+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
basis-vectors-persona-03ae-claude,2026-03-01T01:17:50+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
careful-llm-words-c365-gemini,2026-03-01T04:57:33+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
careful-llm-words-4e0d-codex,2026-03-01T05:05:03+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
careful-llm-words-aaec-claude,2026-03-01T05:58:44+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
mechanistic-llm-failures-4f06-claude,2026-03-02T01:58:30+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
mechanistic-llm-failures-eb40-codex,2026-03-02T01:38:00+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
french-model-counting-ae53-claude,2026-03-02T21:45:24+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
non-pokemon-quality-8c18-claude,2026-03-02T22:45:45+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
model-count-french-96cb-claude,2026-03-02T23:57:35+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
non-pokemon-quality-nlp-ea69-claude,2026-03-03T01:15:45+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
steering-vector-decay-4272-claude,2026-03-03T02:59:39+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
residual-stream-biject-e825-claude,2026-03-03T03:43:30+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
noncomp-phrases-nlp-c335-claude,2026-03-03T04:56:34+00:00,pre_autoresearch,True,True,True,True,False,False,False,standard,high,head_commit_pre_autoresearch
