repo_name,trajectory_id,provider,stage,transcript_path,n_nonempty_lines,n_json_records,n_non_json_lines,n_canonical_events,n_unknown_structures,n_parse_exceptions,empty_transcript,read_failed,non_json_examples,parse_exception_examples,unknown_structures
adv-prompt-propagation-552e-claude,adv-prompt-propagation-552e-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,199,195,4,195,0,0,False,False,"line 13: '{""type"":""assistant"",""message"":{""model"":""claude-opus-4-6"",""id"":""msg_01BSVPQZX4gvdZtt2rCfqkj9"",""type"":""message"",""role"":""as' || line 181: '{""type"":""assistant"",""message"":{""model"":""claude-opus-4-6"",""id"":""msg_01QrpjSWx5fAAmYxbrUVdc9k"",""type"":""message"",""role"":""as' || line 187: '{""type"":""assistant"",""message"":{""model"":""claude-opus-4-6"",""id"":""msg_017tWJYQqn8V4oMbYGoLkbB5"",""type"":""message"",""role"":""as'",,
adv-prompts-firewalls-claude,adv-prompts-firewalls-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,455,455,0,455,4,0,False,False,,,claude:user_block:document:4
adv-prompts-firewalls-claude,adv-prompts-firewalls-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,100,100,0,100,0,0,False,False,,,
adv-robust-battery-sim-9bd0-claude,adv-robust-battery-sim-9bd0-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,149,149,0,149,8,0,False,False,,,claude:user_block:document:8
adv-robust-battery-sim-9bd0-claude,adv-robust-battery-sim-9bd0-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,211,211,0,211,0,0,False,False,,,
adversarial-battery-4ef6-claude,adversarial-battery-4ef6-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,254,254,0,254,10,0,False,False,,,claude:user_block:document:10
adversarial-battery-4ef6-claude,adversarial-battery-4ef6-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,84,84,0,84,0,0,False,False,,,
adversarial-ood-robustnes-73d8-claude,adversarial-ood-robustnes-73d8-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,195,195,0,195,9,0,False,False,,,claude:user_block:document:9
adversarial-ood-robustnes-73d8-claude,adversarial-ood-robustnes-73d8-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,193,193,0,193,0,0,False,False,,,
adversarial-prompts-abe2-claude,adversarial-prompts-abe2-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,475,474,1,474,6,0,False,False,"line 390: '{""type"":""user"",""message"":{""role"":""user"",""content"":[{""tool_use_id"":""toolu_019KSGmtcsAQBMvtJ9CsDAVF"",""type"":""tool_result"",'",,claude:user_block:document:6
adversarial-prompts-abe2-claude,adversarial-prompts-abe2-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,200,200,0,200,0,0,False,False,,,
adversarial-prompts-claude,adversarial-prompts-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,548,548,0,548,0,0,False,False,,,
adversarial-prompts-claude,adversarial-prompts-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,250,250,0,250,0,0,False,False,,,
adversarial-prompts-docs-codex,adversarial-prompts-docs-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,163,162,1,161,0,0,False,False,line 1: 'Reading prompt from stdin...',,
adversarial-prompts-docs-codex,adversarial-prompts-docs-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,145,144,1,144,0,0,False,False,line 1: 'Reading prompt from stdin...',,
adversarial-tone-llm-2ab2-claude,adversarial-tone-llm-2ab2-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,229,229,0,229,4,0,False,False,,,claude:user_block:document:4
adversarial-tone-llm-2ab2-claude,adversarial-tone-llm-2ab2-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,79,79,0,79,0,0,False,False,,,
adversarial_prompt_injection_v_20260728_181355_db6fd146,adversarial_prompt_injection_v_20260728_181355_db6fd146::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,3,3,0,3,0,0,False,False,,,
adversarial_prompt_injection_v_20260729_000827_3a2a967e,adversarial_prompt_injection_v_20260729_000827_3a2a967e::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,2,0,2,0,0,0,True,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Please set an Auth method in your /tmp/.gemini/settings.json or specify one of the following environment variables befor',,
agents-avoid-collapse-2361-claude,agents-avoid-collapse-2361-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,490,490,0,458,9,0,False,False,,,claude:user_block:document:9
agents-avoid-collapse-4c30-gemini,agents-avoid-collapse-4c30-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,54,51,3,51,0,0,False,False,line 1: 'Warning: 256-color support not detected. Using a terminal with at least 256-color support is recommended for a better vi' || line 2: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 3: 'YOLO mode is enabled. All tool calls will be automatically approved.',,
agents-avoid-collapse-4c30-gemini,agents-avoid-collapse-4c30-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,190,187,3,187,0,0,False,False,line 1: 'Warning: 256-color support not detected. Using a terminal with at least 256-color support is recommended for a better vi' || line 2: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 3: 'YOLO mode is enabled. All tool calls will be automatically approved.',,
agents-avoid-collapse-6c08-codex,agents-avoid-collapse-6c08-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,184,181,3,169,6,0,False,False,line 1: 'Reading prompt from stdin...' || line 128: '2026-04-28T04:08:28.120688Z ERROR codex_core::tools::router: error=write_stdin failed: stdin is closed for this session;' || line 184: '2026-04-28T04:11:53.530170Z ERROR codex_core::session: failed to record rollout items: thread 019dd240-a606-7d52-b1dc-6c',,codex:item:web_search:6
agents-avoid-collapse-6c08-codex,agents-avoid-collapse-6c08-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,225,222,3,211,0,0,False,False,line 1: 'Reading prompt from stdin...' || line 61: '2026-04-28T04:15:26.213118Z ERROR codex_core::tools::router: error=write_stdin failed: stdin is closed for this session;' || line 225: '2026-04-28T04:32:57.275440Z ERROR codex_core::session: failed to record rollout items: thread 019dd249-69d4-7010-ba20-2a',,
ai-driven-invention-03d7-gemini,ai-driven-invention-03d7-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,140,135,5,135,0,0,False,False,line 1: 'Warning: 256-color support not detected. Using a terminal with at least 256-color support is recommended for a better vi' || line 2: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 3: 'YOLO mode is enabled. All tool calls will be automatically approved.',,
ai-driven-invention-03d7-gemini,ai-driven-invention-03d7-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,67,62,5,62,0,0,False,False,line 1: 'Warning: 256-color support not detected. Using a terminal with at least 256-color support is recommended for a better vi' || line 2: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 3: 'YOLO mode is enabled. All tool calls will be automatically approved.',,
ai-driven-invention-4088-claude,ai-driven-invention-4088-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,578,578,0,533,0,0,False,False,,,
ai-driven-invention-4088-claude,ai-driven-invention-4088-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,295,295,0,264,0,0,False,False,,,
ai-driven-invention-9655-codex,ai-driven-invention-9655-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,273,270,3,255,9,0,False,False,line 1: 'Reading prompt from stdin...' || line 70: '2026-06-08T03:41:16.241710Z ERROR codex_core::tools::router: error=write_stdin failed: stdin is closed for this session;' || line 225: '2026-06-08T03:50:53.895785Z ERROR codex_core::tools::router: error=write_stdin failed: Unknown process id 53323',,codex:item:web_search:9
ai-driven-invention-9655-codex,ai-driven-invention-9655-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,193,192,1,187,0,0,False,False,line 1: 'Reading prompt from stdin...',,
ai-human-comm-codex,ai-human-comm-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,158,157,1,156,0,0,False,False,line 1: 'Reading prompt from stdin...',,
ai-human-communication-claude,ai-human-communication-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,25,0,25,0,0,0,True,False,"line 1: ""Resource finding is now complete. Here's a summary of what was accomplished:"" || line 3: '## Resource Finding Complete' || line 5: '### Papers (11 PDFs)'",,
ai-human-communication-claude,ai-human-communication-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,34,0,34,0,0,0,True,False,"line 1: 'Excellent! All files are in place. Let me provide a final summary of the research completed:' || line 3: '## Research Session Complete' || line 5: ""I have completed a full research cycle investigating **AI-to-Human Communication Strategies**. Here's a summary of what """,,
ai-human-communication-gemini,ai-human-communication-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,195,178,17,178,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 3: '[STARTUP] StartupProfiler.flush() called with 9 phases',,
ai-human-communication-gemini,ai-human-communication-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,187,174,13,174,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 3: '[STARTUP] StartupProfiler.flush() called with 9 phases',,
ai-methods-durability-codex,ai-methods-durability-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,180,179,1,178,0,0,False,False,line 1: 'Reading prompt from stdin...',,
ai-methods-durability-codex,ai-methods-durability-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,153,152,1,151,0,0,False,False,line 1: 'Reading prompt from stdin...',,
ai-methods-durability-gemini,ai-methods-durability-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,326,306,20,306,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 3: '[ERROR] [IDEClient] Directory mismatch. Gemini CLI is running in a different location than the open workspace in the IDE',,
ai-methods-durability-gemini,ai-methods-durability-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,388,359,29,359,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 3: '[ERROR] [IDEClient] Directory mismatch. Gemini CLI is running in a different location than the open workspace in the IDE',,
ai-review-equilibrium-claude,ai-review-equilibrium-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,43,0,43,0,0,0,True,False,"line 1: ""All tasks are complete. Here's a summary of the resource finding phase:"" || line 3: '---' || line 5: '## Resource Finding Phase Complete ✓'",,
ai-review-equilibrium-claude,ai-review-equilibrium-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,26,0,26,0,0,0,True,False,"line 1: '## Research Session Complete' || line 3: ""I have successfully completed all phases of the AI Reviewing Equilibrium research project. Here's a summary of what was "" || line 5: '### Key Results'",,
ai-review-equilibrium-codex,ai-review-equilibrium-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,136,135,1,134,0,0,False,False,line 1: 'Reading prompt from stdin...',,
ai-review-equilibrium-codex,ai-review-equilibrium-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,265,264,1,264,0,0,False,False,line 1: 'Reading prompt from stdin...',,
ai-review-equilibrium-gemini,ai-review-equilibrium-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,157,152,5,152,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 77: 'missing pgrep output',,
ai-review-equilibrium-gemini,ai-review-equilibrium-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,761,605,156,605,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 31: 'missing pgrep output',,
ai-undetectability-lb-433c-claude,ai-undetectability-lb-433c-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,160,160,0,160,0,0,False,False,,,
ai-undetectability-lb-433c-claude,ai-undetectability-lb-433c-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,91,91,0,91,0,0,False,False,,,
ai-undetectability-lb-claude,ai-undetectability-lb-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,573,573,0,573,14,0,False,False,,,claude:user_block:document:14
ai-undetectability-lb-claude,ai-undetectability-lb-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,106,106,0,106,0,0,False,False,,,
ai-undetectability-lb-dd40-gemini,ai-undetectability-lb-dd40-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,252,243,9,243,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 25: 'Error recording tool call interactions: request to https://cloudcode-pa.googleapis.com/v1internal:recordCodeAssistMetric',,
ai-undetectability-lb-dd40-gemini,ai-undetectability-lb-dd40-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,256,114,142,114,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Loaded cached credentials.' || line 46: 'Error recording tool call interactions: request to https://cloudcode-pa.googleapis.com/v1internal:recordCodeAssistMetric',,
align-failure-taxonomy-d26d-codex,align-failure-taxonomy-d26d-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,217,213,4,202,7,0,False,False,line 1: 'Reading prompt from stdin...' || line 66: '2026-05-11T22:12:18.668622Z ERROR codex_core::tools::router: error=write_stdin failed: stdin is closed for this session;' || line 103: '2026-05-11T22:13:16.272859Z ERROR codex_core::tools::router: error=write_stdin failed: stdin is closed for this session;',,codex:item:web_search:7
align-failure-taxonomy-d26d-codex,align-failure-taxonomy-d26d-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,180,179,1,168,3,0,False,False,line 1: 'Reading prompt from stdin...',,codex:item:web_search:3
align-failures-taxonomy-344e-gemini,align-failures-taxonomy-344e-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,107,100,7,100,0,0,False,False,line 1: 'Warning: 256-color support not detected. Using a terminal with at least 256-color support is recommended for a better vi' || line 2: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 3: 'YOLO mode is enabled. All tool calls will be automatically approved.',,
align-failures-taxonomy-344e-gemini,align-failures-taxonomy-344e-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,72,68,4,68,0,0,False,False,line 1: 'Warning: 256-color support not detected. Using a terminal with at least 256-color support is recommended for a better vi' || line 2: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 3: 'YOLO mode is enabled. All tool calls will be automatically approved.',,
align-failures-taxonomy-db56-claude,align-failures-taxonomy-db56-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,356,355,1,334,14,0,False,False,"line 256: '{""type"":""user"",""message"":{""role"":""user"",""content"":[{""tool_use_id"":""toolu_01VrJRVQNRad4TEiY5uTg7qD"",""type"":""tool_result"",'",,claude:user_block:document:14
align-failures-taxonomy-db56-claude,align-failures-taxonomy-db56-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,46,46,0,39,0,0,False,False,,,
aligned-models-exasperati-claude,aligned-models-exasperati-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,321,321,0,321,0,0,False,False,,,
aligned-models-exasperati-claude,aligned-models-exasperati-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,159,159,0,159,0,0,False,False,,,
alignment-watermark-0988-claude,alignment-watermark-0988-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,152,152,0,152,0,0,False,False,,,
alignment-watermark-claude,alignment-watermark-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,566,566,0,566,3,0,False,False,,,claude:user_block:document:3
alignment-watermark-claude,alignment-watermark-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,149,149,0,149,0,0,False,False,,,
all-words-phrases-nlp-claude,all-words-phrases-nlp-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,178,178,0,178,6,0,False,False,,,claude:user_block:document:6
all-words-phrases-nlp-claude,all-words-phrases-nlp-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,147,147,0,147,0,0,False,False,,,
already-present-beliefs-ea16-codex,already-present-beliefs-ea16-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,59,58,1,48,6,0,False,False,line 1: 'Reading prompt from stdin...',,codex:item:web_search:6
already-present-beliefs-ea16-codex,already-present-beliefs-ea16-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,128,126,2,115,0,0,False,False,"line 1: 'Reading prompt from stdin...' || line 24: ""2026-07-31T14:00:54.680759Z ERROR codex_core::tools::router: error=exec_command failed for `/bin/bash -lc 'pwd && source""",,
anchoring-bias-lookback-claude,anchoring-bias-lookback-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,498,498,0,498,8,0,False,False,,,claude:user_block:document:8
anchoring-bias-lookback-claude,anchoring-bias-lookback-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,151,151,0,151,0,0,False,False,,,
arch-specific-data-claude,arch-specific-data-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,228,228,0,228,6,0,False,False,,,claude:user_block:document:6
arch-specific-data-claude,arch-specific-data-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,246,246,0,246,0,0,False,False,,,
architectural_diversity_in_mul_20260306_214906_8d1e21a6,architectural_diversity_in_mul_20260306_214906_8d1e21a6::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,153,144,9,144,0,0,False,False,"line 2: 'Claude configuration file not found at: /tmp/.claude.json' || line 3: 'A backup file exists at: /tmp/.claude/backups/.claude.json.backup.1772833749912' || line 4: 'You can manually restore it by running: cp ""/tmp/.claude/backups/.claude.json.backup.1772833749912"" ""/tmp/.claude.json""'",,
architectural_diversity_in_mul_20260306_214906_8d1e21a6,architectural_diversity_in_mul_20260306_214906_8d1e21a6::claude,claude,execution,logs/execution_claude_transcript.jsonl,224,221,3,221,0,0,False,False,"line 196: '{""type"":""assistant"",""message"":{""model"":""claude-sonnet-4-6"",""id"":""msg_01AShCGr3sqW2bHEV8N2P3Wg"",""type"":""message"",""role"":""' || line 200: '{""type"":""assistant"",""message"":{""model"":""claude-sonnet-4-6"",""id"":""msg_01NBwGzwb8is7anodG3saakF"",""type"":""message"",""role"":""' || line 201: '{""type"":""user"",""message"":{""role"":""user"",""content"":[{""tool_use_id"":""toolu_01JgQbAhtmJ4gq6ZFwnK6MZj"",""type"":""tool_result"",'",,
artificial-outsiders-nlp-9b1b-claude,artificial-outsiders-nlp-9b1b-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,674,674,0,674,0,0,False,False,,,
artificial-outsiders-nlp-9b1b-claude,artificial-outsiders-nlp-9b1b-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,270,270,0,270,0,0,False,False,,,
artificial-outsiders-nlp-claude,artificial-outsiders-nlp-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,699,696,3,696,2,0,False,False,"line 265: '{""type"":""user"",""message"":{""role"":""user"",""content"":[{""tool_use_id"":""toolu_014rNgkTi9E3cxaYSAWAJxCv"",""type"":""tool_result"",' || line 266: '\\u00064\x89FXi3\x89\x86\x88\x84\x8b\x86\x8c\x84\x93' || line 267: '\x8f\x86\x96}\x96{\x98\x7f\\b\\u000eÿ\\u0002\\u0013\\u001e\\u0000xÍøÌÊ\\u0012ø\\u0000çDð\\u0017\\u0013àïø\x96\\u0015¢ª\x99¤«\x9e¥\x9b¬\x95«\x8b\\bÀ¾kON^YR{\\u001fo\x86n\x8ao\x89\\'",,claude:user_block:document:2
artificial-outsiders-nlp-claude,artificial-outsiders-nlp-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,117,117,0,117,0,0,False,False,,,
attention-for-ai-bc53-codex,attention-for-ai-bc53-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,83,81,2,81,0,0,False,False,"line 1: 'WARNING: proceeding, even though we could not update PATH: Refusing to create helper binaries under temporary dir ""/tmp""' || line 2: 'Reading prompt from stdin...'",,
attention-for-ai-bc53-codex,attention-for-ai-bc53-codex::codex,codex,execution,logs/execution_codex_transcript.jsonl,61,59,2,59,0,0,False,False,"line 1: 'WARNING: proceeding, even though we could not update PATH: Refusing to create helper binaries under temporary dir ""/tmp""' || line 2: 'Reading prompt from stdin...'",,
attention-for-ai-bc53-codex,attention-for-ai-bc53-codex::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,1501,228,1273,228,1,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Failed to load API key from storage: SystemError [ERR_SYSTEM_ERROR]: A system error occurred: uv_os_get_passwd returned ' || line 3: '    at Module.userInfo (node:os:305:11)',,gemini:non_dict:1
attention-for-ai-bc53-codex,attention-for-ai-bc53-codex::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,365,144,221,144,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Failed to load API key from storage: SystemError [ERR_SYSTEM_ERROR]: A system error occurred: uv_os_get_passwd returned ' || line 3: '    at Module.userInfo (node:os:305:11)',,
attention-for-ai-f38a-gemini,attention-for-ai-f38a-gemini::gemini,gemini,resource_finder,logs/resource_finder_gemini_transcript.jsonl,328,159,169,159,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Failed to load API key from storage: SystemError [ERR_SYSTEM_ERROR]: A system error occurred: uv_os_get_passwd returned ' || line 3: '    at Module.userInfo (node:os:305:11)',,
attention-for-ai-f38a-gemini,attention-for-ai-f38a-gemini::gemini,gemini,execution,logs/execution_gemini_transcript.jsonl,112,48,64,48,0,0,False,False,line 1: 'YOLO mode is enabled. All tool calls will be automatically approved.' || line 2: 'Failed to load API key from storage: SystemError [ERR_SYSTEM_ERROR]: A system error occurred: uv_os_get_passwd returned ' || line 3: '    at Module.userInfo (node:os:305:11)',,
attention-in-ai-d12f-claude,attention-in-ai-d12f-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,111,111,0,111,3,0,False,False,,,claude:user_block:document:3
attention-in-ai-d12f-claude,attention-in-ai-d12f-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,115,115,0,115,0,0,False,False,,,
auto-opt-pde-solver-65e0,auto-opt-pde-solver-65e0::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,137,137,0,137,0,0,False,False,,,
auto-opt-pde-solver-65e0,auto-opt-pde-solver-65e0::claude,claude,execution,logs/execution_claude_transcript.jsonl,167,167,0,167,0,0,False,False,,,
auto-opt-pde-solver-claude,auto-opt-pde-solver-claude::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,25,0,25,0,0,0,True,False,"line 1: ""I have completed the resource finding phase for the research project on Automatic Optimization of a PDE Solver. Here's a"" || line 3: '## Summary' || line 5: '### Papers Downloaded (6 total)'",,
auto-opt-pde-solver-claude,auto-opt-pde-solver-claude::claude,claude,execution,logs/execution_claude_transcript.jsonl,24,0,24,0,0,0,True,False,line 1: 'The research is complete. Let me provide a final summary.' || line 3: '## Research Session Complete' || line 5: 'I have successfully completed a comprehensive research investigation into automatic optimization of the jaxhps PDE solve',,
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,autonomous_multi_modal_ai_agen_20260306_222539_298f467e::claude,claude,resource_finder,logs/resource_finder_claude_transcript.jsonl,184,184,0,184,0,0,False,False,,,
autonomous_multi_modal_ai_agen_20260306_222539_298f467e,autonomous_multi_modal_ai_agen_20260306_222539_298f467e::claude,claude,execution,logs/execution_claude_transcript.jsonl,169,168,1,168,0,0,False,False,"line 27: '{""type"":""assistant"",""message"":{""model"":""claude-sonnet-4-6"",""id"":""msg_01WNq6WQrpCfGWzTE5yctasB"",""type"":""message"",""role"":""'",,
base-vs-instruct-models-9ebe-codex,base-vs-instruct-models-9ebe-codex::codex,codex,resource_finder,logs/resource_finder_codex_transcript.jsonl,217,216,1,199,9,0,False,False,line 1: 'Reading prompt from stdin...',,codex:item:web_search:9
