trajectory_id,repository_id,provider,n_transcripts,n_empty_transcripts,n_read_failed_transcripts,n_raw_records,n_non_json_lines,n_unknown_structures,n_parse_exceptions,n_canonical_events,event_expansion_ratio,n_message,n_tool_call,n_tool_result,n_artifact_change,n_error,n_status,n_other,stages
ai-review-equilibrium-codex::codex,ai-review-equilibrium-codex,codex,2,0,0,399,2,0,0,398,0.9974937343358395,140,115,96,19,19,9,0,resource_finder|execution
ai-review-equilibrium-gemini::gemini,ai-review-equilibrium-gemini,gemini,2,0,0,757,161,0,0,757,1.0,443,155,153,0,3,3,0,resource_finder|execution
ai-undetectability-lb-433c-claude::claude,ai-undetectability-lb-433c-claude,claude,2,0,0,251,0,0,0,251,1.0,33,107,100,0,7,4,0,resource_finder|execution
ai-undetectability-lb-claude::claude,ai-undetectability-lb-claude,claude,2,0,0,679,0,14,0,679,1.0,60,211,197,0,14,183,14,resource_finder|execution
ai-undetectability-lb-dd40-gemini::gemini,ai-undetectability-lb-dd40-gemini,gemini,2,0,0,357,151,0,0,357,1.0,121,116,114,0,2,4,0,resource_finder|execution
align-failure-taxonomy-d26d-codex::codex,align-failure-taxonomy-d26d-codex,codex,2,0,0,392,5,10,0,370,0.9438775510204082,45,148,130,10,18,9,10,resource_finder|execution
align-failures-taxonomy-344e-gemini::gemini,align-failures-taxonomy-344e-gemini,gemini,2,0,0,168,11,0,0,168,1.0,32,66,66,0,0,4,0,resource_finder|execution
align-failures-taxonomy-db56-claude::claude,align-failures-taxonomy-db56-claude,claude,2,0,0,401,1,14,0,373,0.9301745635910225,34,137,132,0,4,52,14,resource_finder|execution
aligned-models-exasperati-claude::claude,aligned-models-exasperati-claude,claude,2,0,0,480,0,0,0,480,1.0,66,159,154,0,5,96,0,resource_finder|execution
alignment-watermark-0988-claude::claude,alignment-watermark-0988-claude,claude,1,0,0,152,0,0,0,152,1.0,26,60,56,0,4,6,0,execution
alignment-watermark-claude::claude,alignment-watermark-claude,claude,2,0,0,715,0,3,0,715,1.0,79,225,213,0,12,183,3,resource_finder|execution
all-words-phrases-nlp-claude::claude,all-words-phrases-nlp-claude,claude,2,0,0,325,0,6,0,325,1.0,55,117,111,0,6,30,6,resource_finder|execution
already-present-beliefs-ea16-codex::codex,already-present-beliefs-ea16-codex,codex,2,0,0,184,3,6,0,163,0.8858695652173914,28,54,51,15,3,6,6,resource_finder|execution
anchoring-bias-lookback-claude::claude,anchoring-bias-lookback-claude,claude,2,0,0,649,0,8,0,649,1.0,56,226,189,0,37,133,8,resource_finder|execution
arch-specific-data-claude::claude,arch-specific-data-claude,claude,2,0,0,474,0,6,0,474,1.0,86,166,152,0,14,50,6,resource_finder|execution
architectural_diversity_in_mul_20260306_214906_8d1e21a6::claude,architectural_diversity_in_mul_20260306_214906_8d1e21a6,claude,2,0,0,365,12,0,0,365,1.0,64,139,132,0,10,20,0,resource_finder|execution
artificial-outsiders-nlp-9b1b-claude::claude,artificial-outsiders-nlp-9b1b-claude,claude,2,0,0,944,0,0,0,944,1.0,85,306,283,0,23,247,0,resource_finder|execution
artificial-outsiders-nlp-claude::claude,artificial-outsiders-nlp-claude,claude,2,0,0,813,3,2,0,813,1.0,66,273,239,0,33,200,2,resource_finder|execution
attention-for-ai-bc53-codex::codex,attention-for-ai-bc53-codex,codex,2,0,0,140,4,0,0,140,1.0,33,49,41,3,8,6,0,resource_finder|execution
attention-for-ai-bc53-codex::gemini,attention-for-ai-bc53-codex,gemini,2,0,0,372,1494,1,0,372,1.0,191,88,88,0,0,4,1,resource_finder|execution
attention-for-ai-f38a-gemini::gemini,attention-for-ai-f38a-gemini,gemini,2,0,0,207,233,0,0,207,1.0,83,60,58,0,2,4,0,resource_finder|execution
attention-in-ai-d12f-claude::claude,attention-in-ai-d12f-claude,claude,2,0,0,226,0,3,0,226,1.0,45,80,75,0,5,18,3,resource_finder|execution
auto-opt-pde-solver-65e0::claude,auto-opt-pde-solver-65e0,claude,2,0,0,304,0,0,0,304,1.0,45,126,119,0,7,7,0,resource_finder|execution
auto-opt-pde-solver-claude::claude,auto-opt-pde-solver-claude,claude,2,2,0,0,49,0,0,0,,0,0,0,0,0,0,0,resource_finder|execution
autonomous_multi_modal_ai_agen_20260306_222539_298f467e::claude,autonomous_multi_modal_ai_agen_20260306_222539_298f467e,claude,2,0,0,352,1,0,0,352,1.0,59,140,132,0,9,12,0,resource_finder|execution
base-vs-instruct-models-9ebe-codex::codex,base-vs-instruct-models-9ebe-codex,codex,2,0,0,371,4,9,0,343,0.9245283018867925,87,110,108,18,2,9,9,resource_finder|execution
base-vs-instruct-models-d3a1-gemini::gemini,base-vs-instruct-models-d3a1-gemini,gemini,2,0,0,211,180,0,0,211,1.0,39,84,84,0,0,4,0,resource_finder|execution
base-vs-instruct-models-d95a-claude::claude,base-vs-instruct-models-d95a-claude,claude,2,0,0,492,0,5,0,432,0.8780487804878049,71,99,94,0,5,158,5,resource_finder|execution
basis-vectors-persona-03ae-claude::claude,basis-vectors-persona-03ae-claude,claude,2,0,0,310,0,0,0,310,1.0,61,115,110,0,5,19,0,resource_finder|execution
basis-vectors-persona-4079-gemini::gemini,basis-vectors-persona-4079-gemini,gemini,2,0,0,493,1192,4,0,493,1.0,251,117,111,0,6,4,4,resource_finder|execution
basis-vectors-persona-7acf-codex::codex,basis-vectors-persona-7acf-codex,codex,2,0,0,336,4,1,0,335,0.9970238095238095,125,100,87,3,13,6,1,resource_finder|execution
basis-vectors-persona-claude::claude,basis-vectors-persona-claude,claude,2,0,0,737,0,0,0,737,1.0,47,248,228,0,20,194,0,resource_finder|execution
can-powerful-models-help-with-difficult-3a0f-codex::codex,can-powerful-models-help-with-difficult-3a0f-codex,codex,3,0,0,231,4,2,0,200,0.8658008658008658,27,67,53,29,13,9,2,resource_finder|execution|paper_writer
can-self-report-training-help-lie-de4e-codex::codex,can-self-report-training-help-lie-de4e-codex,codex,2,0,0,220,6,6,0,194,0.8818181818181818,34,64,58,20,6,6,6,resource_finder|execution
can_self_report_training_help__20260728_230205_15848d12::claude,can_self_report_training_help__20260728_230205_15848d12,claude,2,0,0,1378,0,4,0,1282,0.93033381712627,113,202,192,0,10,761,4,resource_finder|execution
careful-llm-words-4e0d-codex::codex,careful-llm-words-4e0d-codex,codex,2,0,0,287,4,0,0,287,1.0,109,85,78,2,7,6,0,resource_finder|execution
careful-llm-words-aaec-claude::claude,careful-llm-words-aaec-claude,claude,2,0,0,438,0,10,0,438,1.0,66,175,165,0,10,12,10,resource_finder|execution
careful-llm-words-c365-gemini::gemini,careful-llm-words-c365-gemini,gemini,2,0,0,304,202,0,0,304,1.0,154,73,71,0,2,4,0,resource_finder|execution
careful-llm-words-claude::claude,careful-llm-words-claude,claude,2,0,0,470,0,0,0,470,1.0,54,156,145,0,11,104,0,resource_finder|execution
carrot-or-stick-nlp-1462-claude::claude,carrot-or-stick-nlp-1462-claude,claude,2,0,0,394,3,11,0,394,1.0,63,153,138,0,16,13,11,resource_finder|execution
carrot-or-stick-nlp-codex::codex,carrot-or-stick-nlp-codex,codex,2,0,0,509,2,8,0,500,0.9823182711198428,188,143,139,7,4,11,8,resource_finder|execution
carrot-or-stick-nlp-e135-claude::claude,carrot-or-stick-nlp-e135-claude,claude,2,0,0,410,2,0,0,410,1.0,73,158,152,0,6,21,0,resource_finder|execution
carrot-or-stick-nlp-gemini::gemini,carrot-or-stick-nlp-gemini,gemini,2,0,0,404,86,0,0,404,1.0,214,93,91,0,2,4,0,resource_finder|execution
cefr-text-difficulty-0907-claude::claude,cefr-text-difficulty-0907-claude,claude,2,0,0,473,0,8,0,473,1.0,93,174,167,0,7,24,8,resource_finder|execution
chain-of-thought-conv-1189-codex::codex,chain-of-thought-conv-1189-codex,codex,2,0,0,307,2,0,0,307,1.0,124,87,81,3,6,6,0,resource_finder|execution
chain-of-thought-conv-b564-claude::claude,chain-of-thought-conv-b564-claude,claude,2,0,0,678,3,0,0,678,1.0,84,284,274,0,11,25,0,resource_finder|execution
chain-of-thought-conv-claude::claude,chain-of-thought-conv-claude,claude,2,0,0,452,0,0,0,452,1.0,58,160,153,0,7,74,0,resource_finder|execution
chat-convergence-claude::claude,chat-convergence-claude,claude,2,0,0,320,0,6,0,320,1.0,59,116,103,0,13,23,6,resource_finder|execution
cognitive-semi-groups-b2bf-claude::claude,cognitive-semi-groups-b2bf-claude,claude,2,0,0,342,0,2,0,342,1.0,42,133,130,0,3,32,2,resource_finder|execution
collab-disagreement-claude::claude,collab-disagreement-claude,claude,2,2,0,0,51,0,0,0,,0,0,0,0,0,0,0,resource_finder|execution
collab-disagreement-codex::codex,collab-disagreement-codex,codex,2,0,0,365,4,0,0,363,0.9945205479452055,130,98,87,24,10,14,0,resource_finder|execution
collab-disagreement-gemini::gemini,collab-disagreement-gemini,gemini,2,0,0,291,29,0,0,291,1.0,65,111,110,0,1,4,0,resource_finder|execution
collab-rlvr-reasoning-f8bd-claude::claude,collab-rlvr-reasoning-f8bd-claude,claude,2,0,0,455,0,5,0,455,1.0,89,174,160,0,14,13,5,resource_finder|execution
compositional-directions-17d5-claude::claude,compositional-directions-17d5-claude,claude,2,0,0,541,0,3,0,541,1.0,82,145,133,0,12,166,3,resource_finder|execution
compositional-directions-cf35-gemini::gemini,compositional-directions-cf35-gemini,gemini,2,0,0,455,14,0,0,455,1.0,235,108,108,0,0,4,0,resource_finder|execution
compositional-directions-claude::claude,compositional-directions-claude,claude,2,0,0,367,0,12,0,367,1.0,61,108,102,0,6,78,12,resource_finder|execution
compositional-directions-fe75-codex::codex,compositional-directions-fe75-codex,codex,2,0,0,248,9,1,0,246,0.9919354838709677,44,97,86,1,11,6,1,resource_finder|execution
cond-steering-vectors-claude::claude,cond-steering-vectors-claude,claude,2,0,0,763,0,0,0,763,1.0,71,264,230,0,34,164,0,resource_finder|execution
constrain-llm-behavior-codex::codex,constrain-llm-behavior-codex,codex,2,0,0,281,2,0,0,280,0.99644128113879,77,95,84,2,11,11,0,resource_finder|execution
context-heavy-personas-claude::claude,context-heavy-personas-claude,claude,2,0,0,436,0,10,0,436,1.0,57,156,150,0,6,57,10,resource_finder|execution
convergence-coherence-4256-claude::claude,convergence-coherence-4256-claude,claude,2,0,0,421,5,0,0,421,1.0,46,172,150,0,21,32,0,resource_finder|execution
coordination-ai-game-claude::claude,coordination-ai-game-claude,claude,2,0,0,669,0,4,0,669,1.0,126,136,128,0,8,267,4,resource_finder|execution
counter-example-machine-claude::claude,counter-example-machine-claude,claude,2,0,0,305,4,5,0,305,1.0,60,113,108,0,5,14,5,resource_finder|execution
covariance-belief-space-claude::claude,covariance-belief-space-claude,claude,2,0,0,258,0,7,0,258,1.0,47,95,87,0,8,14,7,resource_finder|execution
cross-comp-reps-claude::claude,cross-comp-reps-claude,claude,2,0,0,315,0,7,0,315,1.0,68,108,102,0,6,24,7,resource_finder|execution
debate-proof-strategies-1084-claude::claude,debate-proof-strategies-1084-claude,claude,2,0,0,261,0,11,0,261,1.0,38,101,93,0,8,10,11,resource_finder|execution
detecting-lies-nlp-3065-codex::codex,detecting-lies-nlp-3065-codex,codex,2,0,0,221,5,0,0,221,1.0,51,82,75,1,6,6,0,resource_finder|execution
detecting-lies-nlp-777f-gemini::gemini,detecting-lies-nlp-777f-gemini,gemini,2,0,0,426,395,0,0,426,1.0,228,97,97,0,0,4,0,resource_finder|execution
detecting-lies-nlp-c886-claude::claude,detecting-lies-nlp-c886-claude,claude,2,0,0,551,0,0,0,551,1.0,83,187,170,0,17,94,0,resource_finder|execution
diagnosing-experimental-insensitivity-c74f::claude,diagnosing-experimental-insensitivity-c74f,claude,2,0,0,2088,0,9,0,1940,0.9291187739463601,108,358,347,0,11,1107,9,resource_finder|execution
dialing-up-misalignment-systematic-c2b3::claude,dialing-up-misalignment-systematic-c2b3,claude,1,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,resource_finder
diluted-steganography-9471-claude::claude,diluted-steganography-9471-claude,claude,2,0,0,447,3,10,0,447,1.0,82,145,140,0,6,64,10,resource_finder|execution
diluted-steganography-b649-gemini::gemini,diluted-steganography-b649-gemini,gemini,2,0,0,348,5,0,0,348,1.0,207,68,69,0,0,4,0,resource_finder|execution
diluted-steganography-nlp-9907-codex::codex,diluted-steganography-nlp-9907-codex,codex,2,0,0,377,4,14,0,349,0.9257294429708223,50,130,126,12,4,13,14,resource_finder|execution
direction-conflation-claude::claude,direction-conflation-claude,claude,2,0,0,261,0,7,0,261,1.0,58,80,75,0,5,36,7,resource_finder|execution
disorder-order-sync-205e-claude::claude,disorder-order-sync-205e-claude,claude,2,0,0,603,0,8,0,603,1.0,93,246,227,0,19,10,8,resource_finder|execution
dist-shift-curriculum-claude::claude,dist-shift-curriculum-claude,claude,2,0,0,827,0,0,0,827,1.0,69,278,229,0,49,202,0,resource_finder|execution
distinct-persona-ai-12e6-claude::claude,distinct-persona-ai-12e6-claude,claude,2,0,0,361,1,8,0,337,0.9335180055401662,35,118,114,0,3,59,8,resource_finder|execution
distinct-persona-ai-5094-codex::codex,distinct-persona-ai-5094-codex,codex,2,0,0,321,2,7,0,297,0.9252336448598131,39,112,109,16,3,11,7,resource_finder|execution
distinct-persona-ai-b685-gemini::gemini,distinct-persona-ai-b685-gemini,gemini,2,0,0,291,10,0,0,291,1.0,49,119,119,0,0,4,0,resource_finder|execution
drama-types-ai-58c0-codex::codex,drama-types-ai-58c0-codex,codex,2,0,0,646,5,22,0,604,0.934984520123839,129,210,198,18,12,15,22,resource_finder|execution
drama-types-ai-e4ac-claude::claude,drama-types-ai-e4ac-claude,claude,2,0,0,750,0,0,0,708,0.944,49,90,89,0,2,478,0,resource_finder|execution
emergent-alignment-llm-b11c-claude::claude,emergent-alignment-llm-b11c-claude,claude,2,0,0,313,3,5,0,313,1.0,58,116,111,0,6,17,5,resource_finder|execution
emergent-misalignment-13b1-claude::claude,emergent-misalignment-13b1-claude,claude,2,0,0,841,1,7,0,841,1.0,147,322,307,0,16,42,7,resource_finder|execution
emergent-misalignment-claude::claude,emergent-misalignment-claude,claude,2,0,0,212,0,0,0,212,1.0,36,86,82,0,4,4,0,resource_finder|execution
emergent_adversarial_prompt_in_20260728_195215_54394617::claude,emergent_adversarial_prompt_in_20260728_195215_54394617,claude,1,0,0,3,0,0,0,3,1.0,1,0,0,0,1,1,0,resource_finder
emergent_collective_intelligen_20260729_001254_501032ff::gemini,emergent_collective_intelligen_20260729_001254_501032ff,gemini,1,1,0,0,2,0,0,0,,0,0,0,0,0,0,0,resource_finder
emergent_robustness_to_adversa_20260307_082630_b330f08b::claude,emergent_robustness_to_adversa_20260307_082630_b330f08b,claude,2,0,0,310,0,0,0,310,1.0,40,127,119,0,12,12,0,resource_finder|execution
error-extrapolation-1820-claude::claude,error-extrapolation-1820-claude,claude,2,0,0,415,0,0,0,380,0.9156626506024096,38,52,51,0,1,238,0,resource_finder|execution
error-extrapolation-6a30-codex::codex,error-extrapolation-6a30-codex,codex,2,0,0,592,3,4,0,574,0.9695945945945946,176,187,182,14,5,6,4,resource_finder|execution
error-extrapolation-d0c9-gemini::gemini,error-extrapolation-d0c9-gemini,gemini,2,0,0,308,468,0,0,308,1.0,38,133,133,0,0,4,0,resource_finder|execution
error-propagation-proof-4a91-claude::claude,error-propagation-proof-4a91-claude,claude,2,0,0,316,0,8,0,316,1.0,51,101,98,0,3,55,8,resource_finder|execution
evolved-desire-llms-claude::claude,evolved-desire-llms-claude,claude,2,0,0,690,1,0,0,690,1.0,83,241,204,0,36,126,0,resource_finder|execution
evolved-desire-llms-codex::codex,evolved-desire-llms-codex,codex,2,0,0,297,2,0,0,295,0.9932659932659933,104,83,74,11,9,14,0,resource_finder|execution
evolved-desire-llms-gemini::gemini,evolved-desire-llms-gemini,gemini,2,0,0,281,150,0,0,281,1.0,121,78,77,0,1,4,0,resource_finder|execution
evolving-forecasters-claude::claude,evolving-forecasters-claude,claude,2,0,0,478,0,0,0,478,1.0,69,156,154,0,2,97,0,resource_finder|execution
factoring-friendly-assist-claude::claude,factoring-friendly-assist-claude,claude,2,0,0,452,0,5,0,452,1.0,48,160,146,0,14,79,5,resource_finder|execution
factorio-social-ai-claude::claude,factorio-social-ai-claude,claude,2,0,0,484,3,10,0,484,1.0,56,166,153,0,15,84,10,resource_finder|execution
fairness-llm-calibration-0618-claude::claude,fairness-llm-calibration-0618-claude,claude,2,0,0,374,0,0,0,374,1.0,65,143,133,0,10,23,0,resource_finder|execution
false-memories-llm-claude::claude,false-memories-llm-claude,claude,2,0,0,625,4,0,0,625,1.0,48,218,190,0,28,141,0,resource_finder|execution
find-vars-nlp-claude::claude,find-vars-nlp-claude,claude,2,0,0,906,0,9,0,906,1.0,71,296,252,0,44,234,9,resource_finder|execution
finetune-saturation-claude::claude,finetune-saturation-claude,claude,2,0,0,524,0,7,0,524,1.0,71,167,158,0,9,112,7,resource_finder|execution
finetuning-proof-datasets-claude::claude,finetuning-proof-datasets-claude,claude,2,0,0,628,0,1,0,628,1.0,90,206,199,0,7,125,1,resource_finder|execution
fix-lazy-llms-claude::claude,fix-lazy-llms-claude,claude,2,0,0,297,0,7,0,297,1.0,56,113,109,0,4,8,7,resource_finder|execution
fix-lazy-llms-codex::codex,fix-lazy-llms-codex,codex,2,0,0,338,2,15,0,337,0.9970414201183432,115,95,86,6,9,11,15,resource_finder|execution
fix-lazy-llms-f21e-claude::claude,fix-lazy-llms-f21e-claude,claude,2,0,0,553,3,0,0,553,1.0,99,209,173,0,37,35,0,resource_finder|execution
fix-lazy-llms-gemini::gemini,fix-lazy-llms-gemini,gemini,2,0,0,532,96,0,0,532,1.0,286,121,117,0,4,4,0,resource_finder|execution
fix-user-intent-nlp-claude::claude,fix-user-intent-nlp-claude,claude,2,0,0,447,3,6,0,447,1.0,80,171,168,0,4,18,6,resource_finder|execution
fix-user-intent-nlp-codex::codex,fix-user-intent-nlp-codex,codex,2,0,0,440,2,14,0,425,0.9659090909090909,190,104,94,3,10,10,14,resource_finder|execution
fixed-points-of-ai-revision-a756::claude,fixed-points-of-ai-revision-a756,claude,3,0,0,541,0,2,0,492,0.9094269870609981,69,101,97,0,4,219,2,resource_finder|execution|paper_writer
fixing-user-intent-gemini::gemini,fixing-user-intent-gemini,gemini,2,0,0,656,116,0,0,656,1.0,387,132,127,0,6,4,0,resource_finder|execution
french-model-count-debc-claude::claude,french-model-count-debc-claude,claude,2,0,0,420,1,0,0,420,1.0,52,175,164,0,12,17,0,resource_finder|execution
french-model-counting-9f9d-codex::codex,french-model-counting-9f9d-codex,codex,2,0,0,203,4,2,0,201,0.9901477832512315,41,73,63,6,10,6,2,resource_finder|execution
french-model-counting-ae53-claude::claude,french-model-counting-ae53-claude,claude,2,0,0,421,3,3,0,421,1.0,76,161,153,0,9,19,3,resource_finder|execution
function-vectors-nlp-2537-codex::codex,function-vectors-nlp-2537-codex,codex,2,0,0,218,5,2,0,213,0.9770642201834863,40,81,74,3,7,6,2,resource_finder|execution
function-vectors-nlp-299e-gemini::gemini,function-vectors-nlp-299e-gemini,gemini,2,0,0,280,3834,0,0,280,1.0,114,81,80,0,1,4,0,resource_finder|execution
function-vectors-nlp-d7c3-claude::claude,function-vectors-nlp-d7c3-claude,claude,2,0,0,617,0,1,0,617,1.0,98,182,173,0,9,154,1,resource_finder|execution
gatekeeping-signaling-f85b-claude::claude,gatekeeping-signaling-f85b-claude,claude,2,0,0,605,0,12,0,562,0.9289256198347108,66,206,202,0,4,72,12,resource_finder|execution
generalization-refusal-f437-claude::claude,generalization-refusal-f437-claude,claude,2,0,0,783,0,0,0,783,1.0,119,270,249,0,21,124,0,resource_finder|execution
generalization-refusal-f96b-codex::codex,generalization-refusal-f96b-codex,codex,2,0,0,441,17,0,0,423,0.9591836734693877,49,175,153,16,21,9,0,resource_finder|execution
generalization-refusal-f96b-codex::gemini,generalization-refusal-f96b-codex,gemini,2,0,0,396,4,0,0,396,1.0,202,95,95,0,0,4,0,resource_finder|execution
generalize-refusal-76f7-gemini::gemini,generalize-refusal-76f7-gemini,gemini,2,0,0,353,9,0,0,353,1.0,179,85,83,0,2,4,0,resource_finder|execution
geom-loss-landscapes-cdfb-claude::claude,geom-loss-landscapes-cdfb-claude,claude,2,0,0,557,0,6,0,557,1.0,71,222,186,0,36,36,6,resource_finder|execution
granular-deletes-nlp-claude::claude,granular-deletes-nlp-claude,claude,2,0,0,547,0,0,0,547,1.0,47,192,183,0,9,116,0,resource_finder|execution
grounded-novelty-ai-5114-codex::codex,grounded-novelty-ai-5114-codex,codex,2,0,0,436,4,13,0,407,0.9334862385321101,118,126,118,15,7,10,13,resource_finder|execution
grounded-novelty-ai-69c6-claude::claude,grounded-novelty-ai-69c6-claude,claude,2,0,0,1701,0,0,0,1608,0.9453262786596119,95,162,155,0,7,1189,0,resource_finder|execution
grounded-novelty-ai-6ac8-claude::claude,grounded-novelty-ai-6ac8-claude,claude,2,0,0,1463,0,0,0,1372,0.937799043062201,118,159,153,0,6,936,0,resource_finder|execution
hard-to-describe-dir-claude::claude,hard-to-describe-dir-claude,claude,2,0,0,261,0,7,0,261,1.0,62,93,85,0,8,6,7,resource_finder|execution
hashmap-attention-5994-claude::claude,hashmap-attention-5994-claude,claude,2,0,0,501,0,9,0,470,0.93812375249501,53,164,163,0,1,80,9,resource_finder|execution
hidden-misalignment-llm-6ab7-claude::claude,hidden-misalignment-llm-6ab7-claude,claude,2,0,0,810,3,0,0,810,1.0,43,266,258,0,9,234,0,resource_finder|execution
hidden-state-storage-claude::claude,hidden-state-storage-claude,claude,2,0,0,486,0,10,0,486,1.0,54,165,159,0,6,92,10,resource_finder|execution
hide-prompts-length-gemini::gemini,hide-prompts-length-gemini,gemini,2,0,0,233,8,0,0,233,1.0,89,70,70,0,0,4,0,resource_finder|execution
higher-level-implicit-claude::claude,higher-level-implicit-claude,claude,2,0,0,574,0,7,0,574,1.0,83,195,187,0,8,94,7,resource_finder|execution
hilbert-nullstellensatz-d241-codex::codex,hilbert-nullstellensatz-d241-codex,codex,2,0,0,330,5,23,0,293,0.8878787878787879,33,107,103,14,4,9,23,resource_finder|execution
how_do_we_make_sure_skills_sel_20260715_033947_a0801865::claude,how_do_we_make_sure_skills_sel_20260715_033947_a0801865,claude,2,0,0,1268,0,0,0,1190,0.9384858044164038,98,134,130,0,4,824,0,resource_finder|execution
humor-recognition-llm-ca34-claude::claude,humor-recognition-llm-ca34-claude,claude,2,0,0,361,0,7,0,361,1.0,56,144,127,0,17,10,7,resource_finder|execution
humor-recognition-llm-claude::claude,humor-recognition-llm-claude,claude,2,0,0,1030,0,0,0,1030,1.0,84,356,286,0,70,234,0,resource_finder|execution
